rule,lambda_id,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate,Tick_to_Freeze,Tick_to_Zero
A,1,42,0,0.0066,34.2817,0.5247,57.0608,0.0825,0.1003,0.9126,0.9862,False,True,0.0038,0.0068,False,True,False,4,-1
A,1,42,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,42,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,42,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,42,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,137,0,0.0142,69.178,0.632,66.0013,0.0861,0.1009,0.9132,0.9856,False,True,0.0043,0.0078,False,True,False,5,-1
A,1,137,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,5,-1
A,1,137,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,5,-1
A,1,137,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,5,-1
A,1,137,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,5,-1
A,1,256,0,0.0076,43.407,0.5673,60.0047,0.0839,0.1004,0.9128,0.986,False,True,0.0041,0.0072,False,True,False,4,-1
A,1,256,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,256,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,256,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,256,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,1024,0,0.0096,50.5763,0.5438,58.9498,0.0829,0.1002,0.9127,0.9861,False,True,0.0039,0.0068,False,True,False,4,-1
A,1,1024,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,1024,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,1024,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,1024,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,31415,0,0.0092,51.5872,0.5598,52.3688,0.0842,0.1008,0.9129,0.9859,False,True,0.004,0.0071,False,True,False,4,-1
A,1,31415,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,31415,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,31415,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,1,31415,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,4,-1
A,2,42,0,0.0407,129.5115,0.7923,85.0815,0.1734,0.1424,0.9271,0.9708,False,True,0.0092,0.0153,False,True,False,9,-1
A,2,42,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,9,-1
A,2,42,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,9,-1
A,2,42,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,9,-1
A,2,42,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,9,-1
A,2,137,0,0.0388,140.7322,0.8476,89.075,0.1887,0.1464,0.9296,0.9682,False,True,0.0107,0.018,False,True,False,9,-1
A,2,137,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,0.0,False,True,False,9,-1
