Lambda,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate
0.1,42,0,-0.0014,-0.9786,-0.0049,-0.4363,0.0079,0.0558,0.2866,0.1005,False,True,0.0904,0.0304,False,False
0.1,42,25,-0.0005,-0.076,0.0003,0.0693,0.0007,0.0588,0.2871,0.1003,False,True,0.0902,0.0299,False,False
0.1,42,50,0.0004,0.6913,-0.0142,-1.3231,0.0042,0.058,0.3,0.1,False,True,0.09,0.0296,False,False
0.1,42,75,0.0001,0.4036,-0.0061,-0.5907,0.0094,0.0569,0.2983,0.1006,False,True,0.0904,0.0301,False,False
0.1,42,100,-0.0008,-0.4514,-0.0102,-0.9558,0.004,0.064,0.3724,0.0999,False,True,0.0899,0.0296,False,False
0.1,137,0,-0.0004,0.1414,-0.0054,-0.4139,0.0011,0.0636,0.3254,0.1008,False,True,0.0906,0.0311,False,False
0.1,137,25,-0.0003,0.1097,-0.0045,-0.4,0.0509,0.0603,0.3222,0.1005,False,True,0.0904,0.0308,False,False
0.1,137,50,-0.0008,-0.3365,-0.0075,-0.6831,0.0161,0.0589,0.3241,0.1,False,True,0.0899,0.0306,False,False
0.1,137,75,-0.0006,-0.2474,-0.0102,-1.1074,0.0228,0.0519,0.2575,0.0994,False,True,0.0895,0.0303,False,False
0.1,137,100,-0.0008,-0.2521,0.0027,0.2973,0.0492,0.0537,0.2598,0.1001,False,True,0.09,0.0298,False,False
0.1,256,0,0.0001,0.5479,0.0188,1.8982,0.0131,0.0585,0.2759,0.1001,False,True,0.09,0.0301,False,False
0.1,256,25,0.0002,0.7759,0.0063,0.6397,0.017,0.0554,0.2751,0.1003,False,True,0.0902,0.0294,False,False
0.1,256,50,-0.0005,-0.0113,-0.0162,-1.8148,0.0215,0.0531,0.2761,0.0999,False,True,0.0899,0.0295,False,False
0.1,256,75,-0.001,-0.5821,-0.0119,-1.1765,0.0069,0.0526,0.267,0.1004,False,True,0.0903,0.0294,False,False
0.1,256,100,-0.0006,-0.2706,-0.0073,-0.5765,0.0232,0.0558,0.2809,0.0997,False,True,0.0897,0.0294,False,False
0.1,1024,0,-0.0003,0.0671,-0.0036,-0.32,0.0451,0.0567,0.2801,0.1,False,True,0.0899,0.03,False,False
0.1,1024,25,-0.0007,-0.35,0.0006,0.0853,0.0193,0.0578,0.2801,0.1,False,True,0.0899,0.0297,False,False
0.1,1024,50,-0.0004,-0.0355,-0.0182,-1.8537,0.0179,0.0575,0.2746,0.1005,False,True,0.0904,0.0301,False,False
0.1,1024,75,-0.0009,-0.5061,-0.0112,-1.0936,0.0183,0.062,0.2988,0.1004,False,True,0.0903,0.0304,False,False
