Lambda_anchor,epsilon,coefficient_a,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate
0.2,0.05,0.005,0.01,42,0,-0.0002,0.2481,0.0018,0.2134,0.0453,0.0623,0.5828,0.1963,False,True,0.1576,0.0403,False,False
0.2,0.05,0.005,0.01,42,25,0.0007,0.9434,0.0146,1.8176,0.0169,0.0388,0.1919,0.1981,True,True,0.1588,0.0399,False,False
0.2,0.05,0.005,0.01,42,50,0.0005,0.9032,0.0183,2.0253,0.0102,0.0375,0.1915,0.1984,True,True,0.159,0.0397,False,False
0.2,0.05,0.005,0.01,42,75,-0.0004,-0.0463,0.0106,1.1411,0.0105,0.0402,0.2193,0.1988,True,True,0.1592,0.0397,False,False
0.2,0.05,0.005,0.01,42,100,-0.0001,0.2966,0.0076,0.8677,0.0245,0.0414,0.2205,0.1977,True,True,0.1586,0.0395,False,False
0.2,0.05,0.005,0.01,137,0,0.0015,1.8559,-0.001,-0.1431,0.0288,0.0635,0.5997,0.1974,False,True,0.1583,0.0397,False,False
0.2,0.05,0.005,0.01,137,25,0.0007,1.0609,-0.0011,-0.014,0.0132,0.0432,0.1961,0.1979,True,True,0.1586,0.039,False,False
0.2,0.05,0.005,0.01,137,50,0.0001,0.4881,0.0045,0.512,0.0082,0.0425,0.1967,0.1972,True,True,0.1583,0.0395,False,False
0.2,0.05,0.005,0.01,137,75,0.0003,0.6528,0.0187,1.8319,0.0105,0.0404,0.1912,0.1967,True,True,0.1579,0.0392,False,False
0.2,0.05,0.005,0.01,137,100,0.0004,0.6915,0.0173,1.6288,0.0067,0.0372,0.1527,0.1965,True,True,0.1578,0.0396,False,False
0.2,0.05,0.005,0.01,256,0,0.0012,1.6752,0.0073,0.7045,0.0382,0.0628,0.5803,0.1971,False,True,0.1581,0.0399,False,False
0.2,0.05,0.005,0.01,256,25,0.0012,1.4998,0.0108,1.0477,0.0073,0.0389,0.1932,0.1987,True,True,0.1592,0.0387,False,False
0.2,0.05,0.005,0.01,256,50,0.0005,0.8617,0.0048,0.5634,0.0297,0.0391,0.1903,0.1976,True,True,0.1585,0.0383,False,False
0.2,0.05,0.005,0.01,256,75,-0.0001,0.3383,-0.0012,0.002,0.0237,0.0424,0.1922,0.1977,True,True,0.1585,0.0393,False,False
0.2,0.05,0.005,0.01,256,100,0.0006,0.9951,-0.0067,-0.6014,0.0068,0.0447,0.2008,0.1972,True,True,0.1582,0.0394,False,False
0.2,0.05,0.005,0.01,1024,0,-0.0004,-0.0244,0.016,1.4681,0.0271,0.0637,0.6117,0.1968,False,True,0.1579,0.0398,False,False
0.2,0.05,0.005,0.01,1024,25,-0.0014,-0.9586,-0.0143,-1.4475,0.0144,0.0375,0.2066,0.1975,True,True,0.1584,0.0407,False,False
0.2,0.05,0.005,0.01,1024,50,-0.0015,-1.2286,-0.0044,-0.3269,0.022,0.0361,0.1881,0.1978,True,True,0.1586,0.0406,False,False
0.2,0.05,0.005,0.01,1024,75,-0.0019,-1.4953,-0.0074,-0.6442,0.0123,0.0378,0.23,0.1983,True,True,0.1589,0.0401,False,False
0.2,0.05,0.005,0.01,1024,100,-0.0013,-0.9603,-0.0149,-1.4767,0.0176,0.0407,0.2229,0.1974,True,True,0.1584,0.0406,False,False
0.2,0.05,0.005,0.01,31415,0,-0.0001,0.3553,0.019,2.0872,0.0455,0.0652,0.6483,0.1962,False,True,0.1575,0.0401,False,False
0.2,0.05,0.005,0.01,31415,25,0.0004,0.6912,0.0034,0.3732,0.0032,0.0403,0.2618,0.1971,False,True,0.1582,0.0399,False,False
0.2,0.05,0.005,0.01,31415,50,-0.0004,-0.1269,0.0019,0.2736,0.0025,0.043,0.2609,0.1978,False,True,0.1586,0.0402,False,False
0.2,0.05,0.005,0.01,31415,75,-0.0,0.3437,0.0088,0.8548,0.0047,0.0431,0.2433,0.1973,True,True,0.1583,0.0401,False,False
0.2,0.05,0.005,0.01,31415,100,-0.0004,0.0322,0.0084,0.9958,0.0,0.0465,0.2439,0.1968,True,True,0.158,0.0397,False,False
0.4,0.05,0.01,0.02,42,0,-0.0005,-0.1719,-0.0043,-0.3867,0.0477,0.0787,0.8094,0.3948,False,True,0.238,0.0504,False,False
0.4,0.05,0.01,0.02,42,25,0.0002,0.6452,-0.0054,-0.3846,0.0031,0.023,0.1165,0.3983,True,True,0.2396,0.0498,False,False
0.4,0.05,0.01,0.02,42,50,0.0009,1.2611,0.0013,0.1278,0.0095,0.0241,0.1193,0.3989,True,True,0.2397,0.05,False,False
0.4,0.05,0.01,0.02,42,75,0.0005,0.8865,-0.0139,-1.2955,0.0065,0.0241,0.1313,0.399,True,True,0.2397,0.0495,False,False
0.4,0.05,0.01,0.02,42,100,0.0006,0.9738,-0.0109,-1.0009,0.005,0.0263,0.1314,0.3987,True,True,0.2396,0.0494,False,False
0.4,0.05,0.01,0.02,137,0,-0.0001,0.3406,-0.0015,-0.0275,0.0358,0.0784,0.7995,0.3962,False,True,0.2383,0.0486,False,False
0.4,0.05,0.01,0.02,137,25,0.0,0.4102,-0.0045,-0.4308,0.0028,0.0237,0.1025,0.3982,True,True,0.2395,0.049,False,False
0.4,0.05,0.01,0.02,137,50,0.0013,1.7881,-0.0036,-0.4151,0.0021,0.025,0.1125,0.3981,True,True,0.2395,0.0499,False,False
0.4,0.05,0.01,0.02,137,75,0.0017,2.3636,-0.0037,-0.2904,0.0035,0.0259,0.1124,0.3984,True,True,0.2396,0.0488,False,False
0.4,0.05,0.01,0.02,137,100,0.0015,1.893,0.0014,0.2962,0.0059,0.0245,0.1125,0.3983,True,True,0.2396,0.0485,False,False
0.4,0.05,0.01,0.02,256,0,-0.0007,-0.3844,0.0064,0.6161,0.0519,0.0795,0.812,0.3971,False,True,0.2384,0.0473,False,False
0.4,0.05,0.01,0.02,256,25,-0.0006,-0.1402,0.0082,0.9264,0.0074,0.0256,0.113,0.4001,True,True,0.2399,0.047,False,False
0.4,0.05,0.01,0.02,256,50,0.0003,0.5789,0.0223,2.3503,0.0256,0.0247,0.1083,0.399,True,True,0.2397,0.047,False,False
0.4,0.05,0.01,0.02,256,75,-0.0005,0.0103,0.0003,0.0226,0.0179,0.0253,0.1266,0.398,True,True,0.2395,0.0485,False,False
0.4,0.05,0.01,0.02,256,100,-0.0005,-0.2835,-0.004,-0.2495,0.0042,0.0255,0.1267,0.3978,True,True,0.2395,0.0497,False,False
0.4,0.05,0.01,0.02,1024,0,-0.0003,0.1364,0.0067,0.7829,0.039,0.0783,0.825,0.3952,False,True,0.2381,0.0487,False,False
0.4,0.05,0.01,0.02,1024,25,0.0009,1.3279,0.0037,0.482,0.0068,0.0212,0.0964,0.3983,True,True,0.2396,0.0489,False,False
0.4,0.05,0.01,0.02,1024,50,0.0006,0.9919,-0.001,-0.1441,0.011,0.0206,0.0963,0.3986,True,True,0.2396,0.0491,False,False
0.4,0.05,0.01,0.02,1024,75,-0.0,0.3053,-0.0043,-0.3593,0.0122,0.0228,0.1219,0.4003,True,True,0.24,0.0485,False,False
0.4,0.05,0.01,0.02,1024,100,0.0002,0.597,-0.0044,-0.3795,0.0159,0.0247,0.1222,0.3994,True,True,0.2398,0.0493,False,False
0.4,0.05,0.01,0.02,31415,0,-0.0011,-0.6219,0.0152,1.5232,0.0562,0.0796,0.8281,0.3937,False,True,0.2377,0.0485,False,False
0.4,0.05,0.01,0.02,31415,25,-0.0003,0.1548,0.004,0.5465,0.0037,0.0244,0.1388,0.3978,True,True,0.2395,0.0495,False,False
0.4,0.05,0.01,0.02,31415,50,0.0001,0.4876,-0.0084,-0.7207,0.0077,0.025,0.1388,0.3978,True,True,0.2395,0.0495,False,False
0.4,0.05,0.01,0.02,31415,75,-0.0,0.3895,-0.0087,-1.0086,0.0021,0.0246,0.1299,0.3974,True,True,0.2394,0.0493,False,False
0.4,0.05,0.01,0.02,31415,100,-0.0005,-0.1646,-0.0095,-0.8813,0.002,0.0261,0.1298,0.3976,True,True,0.2394,0.0484,False,False
