Lambda_anchor,kappa,target_c,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate
0.4,0.0,0.0,0.0,42,0,-0.0007,-0.3644,-0.01,-0.8501,0.0465,0.0786,0.8117,0.3962,False,True,0.2383,0.0504,False,False,True
0.4,0.0,0.0,0.0,42,25,-0.0001,0.3265,-0.0099,-1.0012,0.0023,0.023,0.1181,0.3996,True,True,0.2398,0.0497,False,False,True
0.4,0.0,0.0,0.0,42,50,0.0006,0.9771,-0.0015,-0.0891,0.0098,0.0241,0.1219,0.4002,True,True,0.24,0.0499,False,False,True
0.4,0.0,0.0,0.0,42,75,0.0003,0.6927,-0.0162,-1.6019,0.006,0.0238,0.1269,0.4003,True,True,0.24,0.0495,False,False,True
0.4,0.0,0.0,0.0,42,100,0.0006,0.8933,-0.0135,-1.4324,0.0045,0.0261,0.128,0.4,True,True,0.2399,0.0493,False,False,True
0.4,0.0,0.0,0.0,42,125,-0.0004,-0.053,-0.0028,-0.3136,0.0111,0.0258,0.1282,0.3995,True,True,0.2398,0.0494,False,False,True
0.4,0.0,0.0,0.0,42,150,-0.0001,0.2503,0.0019,0.3363,0.0046,0.026,0.1393,0.3992,True,True,0.2397,0.0488,False,False,True
0.4,0.0,0.0,0.0,42,175,0.0004,0.7405,0.0106,1.0789,0.0024,0.0257,0.1372,0.3995,True,True,0.2398,0.0493,False,False,True
0.4,0.0,0.0,0.0,42,200,0.0002,0.5636,0.0077,0.7884,0.0015,0.0254,0.1454,0.3989,True,True,0.2397,0.0492,False,False,True
0.4,0.0,0.0,0.0,42,225,0.0006,0.9652,0.008,1.0356,0.0025,0.0251,0.145,0.4001,True,True,0.2399,0.0489,False,False,True
0.4,0.0,0.0,0.0,42,250,-0.0007,-0.309,-0.011,-1.0779,0.0057,0.0243,0.119,0.3999,True,True,0.2399,0.0497,False,False,True
0.4,0.0,0.0,0.0,42,275,-0.0011,-0.66,-0.0175,-1.7235,0.0055,0.0251,0.1232,0.3994,True,True,0.2398,0.0485,False,False,True
0.4,0.0,0.0,0.0,42,300,-0.0019,-1.5696,-0.0054,-0.5302,0.0102,0.0235,0.123,0.4002,True,True,0.2399,0.0482,False,False,True
0.4,0.0,0.0,0.0,137,0,-0.0,0.4012,-0.0056,-0.6173,0.0346,0.0785,0.803,0.3975,False,True,0.2385,0.0486,False,False,True
0.4,0.0,0.0,0.0,137,25,0.0,0.4628,-0.0079,-0.7639,0.0025,0.024,0.1062,0.3993,True,True,0.2398,0.0489,False,False,True
0.4,0.0,0.0,0.0,137,50,0.0013,1.6565,-0.0071,-0.6699,0.0028,0.0253,0.1172,0.3993,True,True,0.2398,0.0497,False,False,True
0.4,0.0,0.0,0.0,137,75,0.0016,1.9129,-0.0055,-0.441,0.0039,0.026,0.1171,0.3996,True,True,0.2398,0.0486,False,False,True
0.4,0.0,0.0,0.0,137,100,0.0014,1.6977,0.0005,0.1939,0.0066,0.0249,0.1171,0.3996,True,True,0.2398,0.0483,False,False,True
0.4,0.0,0.0,0.0,137,125,0.001,1.655,0.0117,1.1972,0.0004,0.0233,0.1092,0.3994,True,True,0.2398,0.048,False,False,True
0.4,0.0,0.0,0.0,137,150,0.0015,1.9062,0.0046,0.6796,0.0036,0.0215,0.1041,0.3995,True,True,0.2398,0.0484,False,False,True
0.4,0.0,0.0,0.0,137,175,0.0005,0.8439,0.0002,-0.0124,0.0012,0.0199,0.0981,0.3996,True,True,0.2399,0.0494,False,False,True
0.4,0.0,0.0,0.0,137,200,0.0004,0.7277,0.0093,0.9724,0.0021,0.0232,0.1223,0.399,True,True,0.2397,0.0489,False,False,True
0.4,0.0,0.0,0.0,137,225,0.0004,0.9179,0.0145,1.583,0.0067,0.0216,0.122,0.3999,True,True,0.2399,0.0488,False,False,True
0.4,0.0,0.0,0.0,137,250,-0.0005,0.0042,-0.0152,-1.5028,0.0025,0.0223,0.1181,0.3997,True,True,0.2399,0.0491,False,False,True
0.4,0.0,0.0,0.0,137,275,0.0004,0.8777,-0.0228,-2.0216,0.0058,0.0231,0.1181,0.3998,True,True,0.2399,0.0497,False,False,False
0.4,0.0,0.0,0.0,137,300,0.0006,1.072,-0.0107,-1.1091,0.0057,0.0213,0.092,0.4001,True,True,0.2399,0.0487,False,False,True
0.4,0.0,0.0,0.0,256,0,-0.0006,-0.2018,0.0039,0.3674,0.0497,0.0795,0.8131,0.3985,False,True,0.2387,0.047,False,False,True
0.4,0.0,0.0,0.0,256,25,-0.0005,-0.1854,0.0052,0.4641,0.008,0.0254,0.1126,0.4013,True,True,0.2402,0.0468,False,False,True
0.4,0.0,0.0,0.0,256,50,0.0004,0.7165,0.0192,2.0367,0.0247,0.0244,0.1069,0.4002,True,True,0.2399,0.0471,False,False,False
0.4,0.0,0.0,0.0,256,75,-0.0004,0.0566,-0.0015,-0.1877,0.0177,0.0251,0.1262,0.3993,True,True,0.2398,0.0485,False,False,True
0.4,0.0,0.0,0.0,256,100,-0.0006,-0.3385,-0.0051,-0.6571,0.0045,0.0253,0.1263,0.3991,True,True,0.2397,0.0497,False,False,True
0.4,0.0,0.0,0.0,256,125,-0.0002,0.0817,-0.0188,-1.8635,0.0157,0.0252,0.1382,0.3995,True,True,0.2398,0.0496,False,False,True
0.4,0.0,0.0,0.0,256,150,-0.001,-0.5037,-0.012,-1.1494,0.0049,0.0247,0.1377,0.4007,True,True,0.24,0.0495,False,False,True
0.4,0.0,0.0,0.0,256,175,-0.0001,0.3255,-0.0111,-1.0168,0.0124,0.0244,0.1427,0.4008,True,True,0.2401,0.0493,False,False,True
0.4,0.0,0.0,0.0,256,200,-0.0004,0.0566,-0.0069,-0.7297,0.0115,0.0232,0.1429,0.4002,True,True,0.24,0.0489,False,False,True
0.4,0.0,0.0,0.0,256,225,-0.002,-1.5117,-0.0053,-0.5343,0.0114,0.0232,0.1182,0.3995,True,True,0.2398,0.0486,False,False,True
0.4,0.0,0.0,0.0,256,250,0.0002,0.5798,-0.0131,-1.1092,0.0103,0.024,0.1154,0.3985,True,True,0.2396,0.0494,False,False,True
0.4,0.0,0.0,0.0,256,275,-0.0005,-0.0588,0.0035,0.3567,0.0005,0.0233,0.1164,0.3988,True,True,0.2397,0.0495,False,False,True
0.4,0.0,0.0,0.0,256,300,0.0001,0.4329,0.0022,0.2784,0.0061,0.0229,0.1164,0.3988,True,True,0.2397,0.0486,False,False,True
0.4,0.0,0.0,0.0,1024,0,-0.0002,0.185,0.0035,0.3957,0.0393,0.0783,0.8262,0.3965,False,True,0.2383,0.0487,False,False,True
0.4,0.0,0.0,0.0,1024,25,0.0008,1.1152,0.0001,0.0312,0.0076,0.0213,0.0971,0.3998,True,True,0.2399,0.049,False,False,True
0.4,0.0,0.0,0.0,1024,50,0.0005,0.9468,-0.004,-0.5397,0.0103,0.0207,0.096,0.4,True,True,0.2399,0.0491,False,False,True
0.4,0.0,0.0,0.0,1024,75,-0.0002,0.2661,-0.0083,-0.7676,0.0104,0.0229,0.1215,0.4015,True,True,0.2402,0.0484,False,False,True
0.4,0.0,0.0,0.0,1024,100,0.0001,0.4888,-0.0065,-0.6773,0.0168,0.0247,0.1218,0.4007,True,True,0.24,0.0492,False,False,True
0.4,0.0,0.0,0.0,1024,125,-0.0006,-0.2578,0.0043,0.4359,0.0202,0.0261,0.1291,0.3995,True,True,0.2398,0.0491,False,False,True
0.4,0.0,0.0,0.0,1024,150,-0.0009,-0.4486,0.0145,1.522,0.0118,0.0268,0.1291,0.3996,True,True,0.2398,0.0492,False,False,True
0.4,0.0,0.0,0.0,1024,175,-0.0003,0.0664,0.002,0.235,0.0099,0.0249,0.1205,0.3984,True,True,0.2396,0.0488,False,False,True
0.4,0.0,0.0,0.0,1024,200,-0.001,-0.5987,0.0064,0.5392,0.0002,0.0232,0.1233,0.399,True,True,0.2397,0.0503,False,False,True
0.4,0.0,0.0,0.0,1024,225,-0.001,-0.6802,-0.005,-0.3475,0.0078,0.0216,0.1102,0.3993,True,True,0.2398,0.0496,False,False,True
0.4,0.0,0.0,0.0,1024,250,-0.0005,-0.1386,-0.0109,-1.197,0.0027,0.0221,0.1222,0.3995,True,True,0.2398,0.0501,False,False,True
0.4,0.0,0.0,0.0,1024,275,-0.0007,-0.2255,-0.0123,-1.2761,0.0087,0.0219,0.122,0.4001,True,True,0.2399,0.0501,False,False,True
0.4,0.0,0.0,0.0,1024,300,-0.0005,-0.0823,-0.0054,-0.4074,0.003,0.0234,0.1219,0.4004,True,True,0.24,0.0497,False,False,True
0.4,0.0,0.0,0.0,31415,0,-0.0011,-0.6218,0.0112,1.0683,0.0561,0.0797,0.8324,0.395,False,True,0.238,0.0485,False,False,True
0.4,0.0,0.0,0.0,31415,25,-0.0002,0.1589,0.001,0.1374,0.0044,0.0242,0.1413,0.3991,True,True,0.2397,0.0494,False,False,True
0.4,0.0,0.0,0.0,31415,50,0.0003,0.6646,-0.0116,-1.1657,0.0074,0.0247,0.1393,0.3992,True,True,0.2397,0.0492,False,False,True
0.4,0.0,0.0,0.0,31415,75,0.0001,0.422,-0.0126,-1.2364,0.0017,0.0245,0.1264,0.3987,True,True,0.2396,0.0493,False,False,True
