Lambda_anchor,kappa,target_c,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate
0.2,-2.863,-0.8,-0.8,42,0,0.1011,101.8252,-0.1107,-11.3704,0.0087,0.1404,1.5334,0.354,False,True,0.2262,0.0403,False,False,False
0.2,-2.863,-0.8,-0.8,42,25,0.1062,102.1989,-0.0965,-9.5179,0.0031,0.0444,0.228,0.3543,True,True,0.2285,0.0397,False,False,False
0.2,-2.863,-0.8,-0.8,42,50,0.1088,112.4715,-0.0908,-8.9086,0.0066,0.0458,0.2162,0.3552,True,True,0.2288,0.0399,False,False,False
0.2,-2.863,-0.8,-0.8,42,75,0.1097,119.3163,-0.102,-10.6668,0.0068,0.05,0.2454,0.3554,True,True,0.2288,0.0401,False,False,False
0.2,-2.863,-0.8,-0.8,42,100,0.113,119.5651,-0.1008,-10.1353,0.0034,0.0502,0.235,0.3557,True,True,0.2289,0.0395,False,False,False
0.2,-2.863,-0.8,-0.8,137,0,0.1064,105.4576,-0.1153,-10.7498,0.0052,0.1469,1.5469,0.3553,False,True,0.2263,0.0401,False,False,False
0.2,-2.863,-0.8,-0.8,137,25,0.1088,115.3205,-0.0952,-10.8854,0.0061,0.0508,0.2266,0.3548,True,True,0.2286,0.04,False,False,False
0.2,-2.863,-0.8,-0.8,137,50,0.1075,114.1858,-0.0928,-9.8905,0.0033,0.0527,0.2324,0.3545,True,True,0.2285,0.0396,False,False,False
0.2,-2.863,-0.8,-0.8,137,75,0.1109,115.2458,-0.0936,-9.4856,0.0013,0.0531,0.2321,0.355,True,True,0.2286,0.039,False,False,False
0.2,-2.863,-0.8,-0.8,137,100,0.1095,115.8564,-0.094,-9.3762,0.0035,0.0533,0.2325,0.3544,True,True,0.2284,0.0386,False,False,False
0.2,-2.863,-0.8,-0.8,256,0,0.1073,118.681,-0.105,-10.4086,0.0076,0.1386,1.5268,0.3553,False,True,0.2266,0.0392,False,False,False
