Lambda_anchor,kappa,target_c,s_Lambda,theta_turnover,effective_persistence,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate,q_mean,q_var,mean_abs_perturbation,realized_churn_rate
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,42,0,0.0034,3.6613,-0.0515,-5.1068,0.032,0.0838,1.0247,0.4161,False,True,0.2418,0.0491,False,False,False,0.4161,0.0307,0.0571,0.5989
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,42,25,0.0043,4.8309,-0.0479,-4.9068,0.0022,0.024,0.1405,0.4184,True,True,0.2432,0.0485,False,False,False,0.4184,0.0309,0.0562,0.5976
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,42,50,0.005,5.6129,-0.0465,-4.8221,0.0071,0.0257,0.1423,0.4189,True,True,0.2433,0.0492,False,False,False,0.4189,0.031,0.0561,0.5967
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,42,75,0.005,4.9357,-0.0529,-5.3093,0.0032,0.0235,0.1269,0.4192,True,True,0.2434,0.0488,False,False,False,0.4192,0.0309,0.056,0.5964
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,42,100,0.0053,5.3139,-0.0492,-4.6756,0.0005,0.0255,0.1269,0.4191,True,True,0.2433,0.0482,False,False,False,0.4191,0.0309,0.056,0.5986
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,137,0,0.0043,5.2251,-0.0535,-5.3644,0.0266,0.0844,1.0279,0.4164,False,True,0.2418,0.0475,False,False,False,0.4164,0.0307,0.057,0.5994
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,137,25,0.0046,5.3067,-0.0542,-5.4419,0.004,0.0256,0.1215,0.418,True,True,0.2432,0.0479,False,False,False,0.418,0.0308,0.0562,0.5994
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,137,50,0.0056,6.131,-0.0595,-5.9191,0.0005,0.0269,0.1253,0.4181,True,True,0.2432,0.0485,False,False,False,0.4181,0.0308,0.0562,0.5991
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,137,75,0.0054,6.0099,-0.0539,-5.418,0.0041,0.0263,0.1253,0.4184,True,True,0.2432,0.0479,False,False,False,0.4184,0.0308,0.0562,0.5994
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,137,100,0.0052,5.612,-0.0492,-4.679,0.0011,0.0253,0.1253,0.4182,True,True,0.2432,0.0478,False,False,False,0.4182,0.0309,0.0562,0.5997
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,256,0,0.0043,4.7091,-0.0378,-3.5344,0.0351,0.0857,1.0592,0.4177,False,True,0.2419,0.046,False,False,False,0.4177,0.0309,0.057,0.6
