run_id,block_idx,M_block,g_E_value,pre_bound_term,post_bound_term,Delta_j,bound_ratio,bound_active,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_bounded_kp0_7599_d0_0000_s42,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3653,0.0072,0.0649
R_E_bounded_kp0_7599_d0_0000_s42,1,0.3653,-2.4539,0.0,0.0,0.0,0.0,False,0.3723,0.0018,0.0514
R_E_bounded_kp0_7599_d0_0000_s42,2,0.3723,0.361,0.0,0.0,0.0,0.0,False,0.3701,0.0071,0.0659
R_E_bounded_kp0_7599_d0_0000_s42,3,0.3701,-0.5369,0.0,0.0,0.0,0.0,False,0.3722,0.0055,0.0439
R_E_bounded_kp0_7599_d0_0000_s42,4,0.3722,0.3101,0.0,0.0,0.0,0.0,False,0.3718,0.0063,0.0591
R_E_bounded_kp0_7599_d0_0000_s42,5,0.3718,0.1381,0.0,0.0,0.0,0.0,False,0.3752,0.0047,0.0568
R_E_bounded_kp0_7599_d0_0000_s42,6,0.3752,1.5074,0.0,0.0,0.0,0.0,False,0.3706,0.004,0.0512
R_E_bounded_kp0_7599_d0_0000_s42,7,0.3706,-0.314,0.0,0.0,0.0,0.0,False,0.3711,0.0049,0.0651
R_E_bounded_kp0_7599_d0_0000_s42,8,0.3711,-0.1166,0.0,0.0,0.0,0.0,False,0.3705,0.0014,0.0622
R_E_bounded_kp0_7599_d0_0000_s42,9,0.3705,-0.3586,0.0,0.0,0.0,0.0,False,0.3732,0.0057,0.0897
R_E_bounded_kp0_7599_d0_0000_s42,10,0.3732,0.6986,0.0,0.0,0.0,0.0,False,0.3741,0.0047,0.061
R_E_bounded_kp0_7599_d0_0000_s42,11,0.3741,1.0807,0.0,0.0,0.0,0.0,False,0.3692,0.0061,0.043
R_E_bounded_kp0_7599_d0_0000_s42,12,0.3692,-0.8872,0.0,0.0,0.0,0.0,False,0.3751,0.0034,0.0694
R_E_bounded_kp0_7599_d0_0000_s42,13,0.3751,1.4755,0.0,0.0,0.0,0.0,False,0.3727,-0.0008,0.0506
R_E_bounded_kp0_7599_d0_0000_s42,14,0.3727,0.5011,0.0,0.0,0.0,0.0,False,0.3701,0.0049,0.0591
R_E_bounded_kp0_7599_d0_0000_s42,15,0.3701,-0.5178,0.0,0.0,0.0,0.0,False,0.3731,0.0018,0.0765
R_E_bounded_kp0_7599_d0_0000_s137,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3689,0.0074,0.0627
R_E_bounded_kp0_7599_d0_0000_s137,1,0.3689,-1.0146,0.0,0.0,0.0,0.0,False,0.3721,0.001,0.048
R_E_bounded_kp0_7599_d0_0000_s137,2,0.3721,0.2846,0.0,0.0,0.0,0.0,False,0.3712,0.0068,0.0529
R_E_bounded_kp0_7599_d0_0000_s137,3,0.3712,-0.072,0.0,0.0,0.0,0.0,False,0.3735,0.0062,0.0745
R_E_bounded_kp0_7599_d0_0000_s137,4,0.3735,0.8196,0.0,0.0,0.0,0.0,False,0.3709,0.0068,0.054
R_E_bounded_kp0_7599_d0_0000_s137,5,0.3709,-0.1994,0.0,0.0,0.0,0.0,False,0.3705,0.0084,0.0701
R_E_bounded_kp0_7599_d0_0000_s137,6,0.3705,-0.3777,0.0,0.0,0.0,0.0,False,0.3709,0.0075,0.0436
R_E_bounded_kp0_7599_d0_0000_s137,7,0.3709,-0.2122,0.0,0.0,0.0,0.0,False,0.3741,0.0037,0.0715
R_E_bounded_kp0_7599_d0_0000_s137,8,0.3741,1.0616,0.0,0.0,0.0,0.0,False,0.3691,0.005,0.0628
R_E_bounded_kp0_7599_d0_0000_s137,9,0.3691,-0.9382,0.0,0.0,0.0,0.0,False,0.3698,0.0086,0.087
R_E_bounded_kp0_7599_d0_0000_s137,10,0.3698,-0.6643,0.0,0.0,0.0,0.0,False,0.3717,0.0034,0.0813
R_E_bounded_kp0_7599_d0_0000_s137,11,0.3717,0.1063,0.0,0.0,0.0,0.0,False,0.3713,0.0052,0.0802
R_E_bounded_kp0_7599_d0_0000_s137,12,0.3713,-0.0338,0.0,0.0,0.0,0.0,False,0.3725,0.0055,0.0711
R_E_bounded_kp0_7599_d0_0000_s137,13,0.3725,0.4183,0.0,0.0,0.0,0.0,False,0.37,0.0066,0.0699
R_E_bounded_kp0_7599_d0_0000_s137,14,0.37,-0.5752,0.0,0.0,0.0,0.0,False,0.3736,0.0073,0.0635
R_E_bounded_kp0_7599_d0_0000_s137,15,0.3736,0.8578,0.0,0.0,0.0,0.0,False,0.3713,0.0067,0.0961
R_E_bounded_kp0_7599_d0_0000_s256,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3675,0.0083,0.0739
R_E_bounded_kp0_7599_d0_0000_s256,1,0.3675,-1.575,0.0,0.0,0.0,0.0,False,0.3735,0.0025,0.0562
R_E_bounded_kp0_7599_d0_0000_s256,2,0.3735,0.8196,0.0,0.0,0.0,0.0,False,0.3748,0.004,0.0707
R_E_bounded_kp0_7599_d0_0000_s256,3,0.3748,1.3418,0.0,0.0,0.0,0.0,False,0.3746,0.0075,0.0772
R_E_bounded_kp0_7599_d0_0000_s256,4,0.3746,1.2781,0.0,0.0,0.0,0.0,False,0.3711,0.0072,0.0794
R_E_bounded_kp0_7599_d0_0000_s256,5,0.3711,-0.1357,0.0,0.0,0.0,0.0,False,0.3672,0.0025,0.0402
R_E_bounded_kp0_7599_d0_0000_s256,6,0.3672,-1.6769,0.0,0.0,0.0,0.0,False,0.3717,0.0006,0.0483
R_E_bounded_kp0_7599_d0_0000_s256,7,0.3717,0.1126,0.0,0.0,0.0,0.0,False,0.3741,0.0061,0.0664
R_E_bounded_kp0_7599_d0_0000_s256,8,0.3741,1.0807,0.0,0.0,0.0,0.0,False,0.3722,0.0082,0.0498
R_E_bounded_kp0_7599_d0_0000_s256,9,0.3722,0.291,0.0,0.0,0.0,0.0,False,0.3741,0.0029,0.097
R_E_bounded_kp0_7599_d0_0000_s256,10,0.3741,1.0679,0.0,0.0,0.0,0.0,False,0.37,0.0057,0.0578
R_E_bounded_kp0_7599_d0_0000_s256,11,0.37,-0.5497,0.0,0.0,0.0,0.0,False,0.3709,0.0044,0.0499
R_E_bounded_kp0_7599_d0_0000_s256,12,0.3709,-0.1994,0.0,0.0,0.0,0.0,False,0.3719,0.0037,0.0776
R_E_bounded_kp0_7599_d0_0000_s256,13,0.3719,0.1827,0.0,0.0,0.0,0.0,False,0.3672,0.0095,0.0708
R_E_bounded_kp0_7599_d0_0000_s256,14,0.3672,-1.6833,0.0,0.0,0.0,0.0,False,0.3714,0.0017,0.072
R_E_bounded_kp0_7599_d0_0000_s256,15,0.3714,-0.0084,0.0,0.0,0.0,0.0,False,0.3729,0.005,0.0492
R_E_bounded_kp0_7599_d0_0000_s1024,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3676,0.004,0.0646
