run_id,base_sign,kappa,target_d,alpha,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,0,0.0054,6.0887,0.0644,5.8102,0.0199,0.0379,0.3243,0.37,False,True,0.2329,0.0526,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,25,0.0052,5.4806,0.0562,5.8005,0.0001,0.0244,0.1324,0.3716,True,True,0.2334,0.0519,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,50,0.0059,6.6995,0.0546,5.3778,0.0158,0.0257,0.144,0.3723,True,True,0.2336,0.0513,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,75,0.0051,6.1175,0.0456,4.6658,0.0032,0.0256,0.131,0.3725,True,True,0.2336,0.0506,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,100,0.005,5.1982,0.0478,4.8314,0.0085,0.0286,0.1322,0.3722,True,True,0.2336,0.051,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,125,0.0038,4.0369,0.0587,5.607,0.0156,0.028,0.1323,0.3719,True,True,0.2335,0.0515,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,150,0.004,4.168,0.065,6.7159,0.0041,0.0289,0.1626,0.3714,True,True,0.2333,0.0508,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,175,0.0042,4.4388,0.0756,7.3438,0.0129,0.0285,0.1623,0.3722,True,True,0.2336,0.0515,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,200,0.0045,4.7448,0.0655,6.9326,0.001,0.0267,0.1463,0.3718,True,True,0.2335,0.0515,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,225,0.005,5.6794,0.0803,8.7307,0.0014,0.0264,0.1459,0.3729,True,True,0.2338,0.0513,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,250,0.0034,3.9525,0.0529,5.312,0.0009,0.026,0.1288,0.3728,True,True,0.2337,0.0516,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,275,0.0034,3.8077,0.0373,3.8187,0.0039,0.0261,0.1259,0.3718,True,True,0.2335,0.0501,False,False,False
R_E_kp0_7599_ap0_0000_s42,+,0.7599,0.0,0.0,42,300,0.0023,2.8382,0.0575,5.665,0.011,0.0265,0.1341,0.3728,True,True,0.2337,0.0498,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,0,0.0054,6.0346,0.0497,5.2078,0.0165,0.0361,0.3123,0.3714,False,True,0.2333,0.051,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,25,0.0052,4.9598,0.0619,6.1687,0.0014,0.0248,0.1172,0.372,True,True,0.2335,0.0508,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,50,0.0071,7.5181,0.0653,6.3041,0.0057,0.026,0.1184,0.3715,True,True,0.2334,0.0515,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,75,0.0073,7.1737,0.0672,6.5449,0.008,0.0267,0.1185,0.3714,True,True,0.2334,0.0504,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,100,0.0066,6.5829,0.0678,6.5831,0.0134,0.0257,0.1184,0.3716,True,True,0.2334,0.051,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,125,0.0062,7.1902,0.073,6.5624,0.0018,0.0242,0.1067,0.3711,True,True,0.2333,0.0505,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,150,0.0062,6.8146,0.0652,7.1052,0.0058,0.0219,0.1014,0.371,True,True,0.2333,0.0509,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,175,0.0052,4.9709,0.068,7.3571,0.0036,0.0205,0.0884,0.3712,True,True,0.2333,0.0514,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,200,0.0056,6.7167,0.0835,8.0046,0.012,0.0237,0.1209,0.3705,True,True,0.2331,0.0509,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,225,0.0057,6.6213,0.0875,9.4554,0.0099,0.0225,0.1207,0.3713,True,True,0.2334,0.0508,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,250,0.0052,5.4536,0.0469,4.8938,0.0011,0.0235,0.1206,0.3714,True,True,0.2334,0.0507,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,275,0.0062,6.538,0.0414,4.3348,0.0083,0.0236,0.1205,0.3718,True,True,0.2335,0.0515,False,False,False
R_E_kp0_7599_ap0_0000_s137,+,0.7599,0.0,0.0,137,300,0.0065,6.9812,0.0534,5.8586,0.0015,0.0209,0.1,0.3718,True,True,0.2335,0.0506,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,0,0.0056,5.6531,0.0726,7.1566,0.0277,0.0395,0.3242,0.3726,False,True,0.2336,0.0502,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,25,0.0053,5.5463,0.075,7.1692,0.0132,0.0286,0.1371,0.3735,True,True,0.2339,0.0492,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,50,0.0053,5.5106,0.081,8.443,0.0342,0.0271,0.128,0.3719,True,True,0.2335,0.0488,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,75,0.0044,4.9873,0.0543,5.5204,0.0182,0.0288,0.1315,0.3712,True,True,0.2333,0.0498,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,100,0.0041,4.2253,0.0518,5.2063,0.0077,0.0288,0.1337,0.371,True,True,0.2333,0.0511,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,125,0.0043,5.0602,0.0401,4.3888,0.0145,0.0281,0.1487,0.3713,True,True,0.2333,0.051,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,150,0.0044,4.7682,0.0734,7.6581,0.0042,0.0286,0.148,0.373,True,True,0.2338,0.0516,False,False,False
R_E_kp0_7599_ap0_0000_s256,+,0.7599,0.0,0.0,256,175,0.0057,6.0568,0.0715,7.3341,0.0137,0.0272,0.1353,0.3726,True,True,0.2337,0.0509,False,False,False
