run_id,mode,stage,c_label,kappa,tier,u_const,seed,block_idx,u_t,schedule_phase,block_in_primary_set,primary_exclusion_reason,block_rho,raw_Psi_meanI_state,raw_Psi_persistence_I,analytic_realized_delta_p_driven,mean_p_become,mean_slope,q05_slope,tail_mass,p_min,p_max,prop_I_full_surface,prop_I_masked_diagnostic
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,0,0.0,0,False,PRE_PRIMARY_INCOMPLETE_CYCLE,0.386592,0.0005905724338133,0.0064815382018959,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,1,0.0,1,False,PRE_PRIMARY_INCOMPLETE_CYCLE,0.399408,-0.0030462634384242,-0.0138914824540701,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,2,0.0,2,False,PRE_PRIMARY_INCOMPLETE_CYCLE,0.398208,-1.0343157374749748e-05,0.0022595962407752,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,3,0.0,0,True,,0.400704,-0.0004153842894083,-0.0185831282447924,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,4,0.0,1,True,,0.39992,0.0029112502890845,-0.0037040040914297,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,5,0.0,2,True,,0.40208,-0.0002191885860719,-0.006876688054264,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,6,0.0,0,True,,0.398304,-0.0009620503672747,-0.0060506144308804,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,7,0.0,1,True,,0.3998239999999999,0.0005908919388211,-0.0041093619928467,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,8,0.0,2,True,,0.397856,-0.0008140356889067,0.0081390313915286,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,9,0.0,0,True,,0.401008,0.0006655193509307,0.0170240845622441,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
