run_id,mode,stage,c_label,kappa,tier,u_const,seed,window_start_tick,window_start_block,window_start_schedule_phase,window_in_primary_family,primary_exclusion_reason,window_mean_rho,raw_Psi_meanI_state,Psi_meanI_state_z,raw_Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_active_state_variance,persistence_std,Steady_State_Candidate_APPARATUS_ONLY,Lifted_Activation_Candidate_APPARATUS_ONLY,extinction_degenerate_APPARATUS_ONLY,saturation_degenerate_APPARATUS_ONLY,LowLow_Nondegenerate_Candidate_APPARATUS_ONLY,analytic_realized_delta_p_u0_convention,driven_realized_contrast_mean,driven_realized_contrast_range,window_schedule_composition
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,0,0,0,False,PRE_PRIMARY_PHASE_IMBALANCE,0.396228,-0.0007203546128484,-0.3644237320235745,-0.0099509169135684,-0.8501489080657559,0.046519082876027,0.0786320974760947,0.8116538941931062,0.2382606607999999,0.0503711426910289,False,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,25,1,1,False,PRE_PRIMARY_PHASE_IMBALANCE,0.3995599999999999,-0.0001401851490306,0.3265070426918929,-0.0099023437119898,-1.0012221984386884,0.0022743289388653,0.0230007223872266,0.1181299426415808,0.2398273471999999,0.0496633305367249,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,50,2,2,False,PRE_PRIMARY_PHASE_IMBALANCE,0.400228,0.0005665835640573,0.9771063427245033,-0.0014506495729117,-0.0890650627525246,0.0098215843906155,0.024053385305124,0.1219304993105666,0.239952872,0.0498989781057688,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,75,3,0,True,,0.4002519999999998,0.0003286567615824,0.6927146521594317,-0.0162317474001497,-1.6018859984837286,0.0059890261784633,0.0237647064744266,0.1269200400574636,0.2399598607999999,0.0494948128191227,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,100,4,1,True,,0.400032,0.0005802258186397,0.8933269757820443,-0.0134523258530315,-1.432408756997963,0.0045084901946017,0.0260838021363095,0.1279897604991855,0.2398975232,0.0492511824832663,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,125,5,2,True,,0.399516,-0.000351095675858,-0.0529750680547702,-0.0027574182569464,-0.3136125899543671,0.0110694996774973,0.0257730947888507,0.1281550673110586,0.2397969424,0.0493822411804081,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,150,6,0,True,,0.399248,-0.0001299186916074,0.2503100264470372,0.001906600665146,0.336338639079435,0.0046447958108724,0.0260471531347783,0.1392618118581387,0.2397408896,0.0487679658792531,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,175,7,1,True,,0.3994959999999999,0.000378467119495,0.7404783584953815,0.0105593473815347,1.0788614668848948,0.0023552027731283,0.025722338069104,0.1371728374322325,0.2397933504,0.0492534870237631,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,200,8,2,True,,0.398936,0.0001671731328687,0.5635657303885572,0.007695869627299,0.7883719280504395,0.0014572215401872,0.0254393931412818,0.1453867283339013,0.2396830719999999,0.0491722269579078,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,225,9,0,True,,0.400128,0.0005582549705338,0.96518430010501,0.0080085488071238,1.0356331906812657,0.0025098479075011,0.0251247593011992,0.144953614480982,0.2399245183999999,0.0489299868792134,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
