run_id,mode,stage,c_label,kappa,tier,u_const,seed,window_start_tick,window_start_block,window_start_schedule_phase,window_in_primary_family,primary_exclusion_reason,window_mean_rho,raw_Psi_meanI_state,Psi_meanI_state_z,raw_Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_active_state_variance,persistence_std,Steady_State_Candidate_APPARATUS_ONLY,Lifted_Activation_Candidate_APPARATUS_ONLY,extinction_degenerate_APPARATUS_ONLY,saturation_degenerate_APPARATUS_ONLY,LowLow_Nondegenerate_Candidate_APPARATUS_ONLY,analytic_realized_delta_p_u0_convention,driven_realized_contrast_mean,driven_realized_contrast_range,window_schedule_composition
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,0,0,0,False,PRE_PRIMARY_PHASE_IMBALANCE,0.396228,-0.0007203546128484952,-0.3644237320235745,-0.009950916913568421,-0.8501489080657559,0.04651908287602705,0.07863209747609472,0.8116538941931062,0.23826066079999997,0.05037114269102896,False,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,25,1,1,False,PRE_PRIMARY_PHASE_IMBALANCE,0.3995599999999999,-0.00014018514903069252,0.3265070426918929,-0.009902343711989845,-1.0012221984386884,0.00227432893886533,0.023000722387226672,0.1181299426415808,0.23982734719999996,0.04966333053672498,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,50,2,2,False,PRE_PRIMARY_PHASE_IMBALANCE,0.40022800000000003,0.0005665835640573953,0.9771063427245031,-0.0014506495729117797,-0.08906506275252464,0.009821584390615564,0.024053385305124055,0.1219304993105666,0.239952872,0.04989897810576886,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,75,3,0,True,,0.40025199999999983,0.0003286567615824068,0.6927146521594317,-0.016231747400149762,-1.6018859984837286,0.005989026178463371,0.023764706474426682,0.12692004005746363,0.23995986079999995,0.04949481281912277,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,100,4,1,True,,0.400032,0.0005802258186397682,0.8933269757820443,-0.013452325853031593,-1.4324087569979633,0.0045084901946017214,0.026083802136309578,0.12798976049918556,0.23989752320000005,0.04925118248326633,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,125,5,2,True,,0.399516,-0.0003510956758580718,-0.05297506805477021,-0.002757418256946416,-0.3136125899543671,0.01106949967749731,0.02577309478885072,0.12815506731105863,0.23979694240000002,0.04938224118040817,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,150,6,0,True,,0.39924800000000005,-0.00012991869160740047,0.2503100264470372,0.001906600665146019,0.33633863907943506,0.004644795810872424,0.026047153134778348,0.1392618118581387,0.23974088960000006,0.04876796587925315,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,175,7,1,True,,0.39949599999999996,0.00037846711949500336,0.7404783584953815,0.010559347381534788,1.0788614668848948,0.0023552027731283554,0.025722338069104088,0.13717283743223257,0.2397933504,0.0492534870237631,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,200,8,2,True,,0.398936,0.00016717313286873547,0.5635657303885572,0.007695869627299081,0.7883719280504395,0.0014572215401872546,0.025439393141281855,0.14538672833390134,0.23968307199999997,0.04917222695790786,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,225,9,0,True,,0.40012800000000004,0.0005582549705338492,0.9651843001050099,0.00800854880712386,1.0356331906812655,0.002509847907501132,0.02512475930119923,0.144953614480982,0.23992451839999998,0.04892998687921345,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,250,10,1,True,,0.39994799999999997,-0.0006540444375909979,-0.30901197973850403,-0.011028075721178577,-1.077865780884691,0.0056911088668286335,0.024323793191878607,0.11901547171378406,0.2398949584,0.04966565509484396,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,275,11,2,True,,0.39939199999999997,-0.001057701775709404,-0.6600455910259676,-0.017537515742347375,-1.7235444367672348,0.005500109327344752,0.025075078729240856,0.12318724430337308,0.23977773439999997,0.0484688594460402,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s42,cm1,stageA,0.0,0.0,0.0,,42,300,12,0,False,EXITS_PRIMARY_BLOCK_SET,0.400152,-0.0018599555658438006,-1.569607950739489,-0.005413572160394481,-0.530165407923591,0.01017675087103327,0.0235184002400176,0.12295327744718691,0.23994181120000005,0.04824994192742619,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,0,0,0,False,PRE_PRIMARY_PHASE_IMBALANCE,0.39750800000000014,-3.20675769220706e-05,0.40115214659304205,-0.00558018107202153,-0.6172734078985311,0.034598386143003146,0.0784889674814411,0.8030027048436691,0.2385219504,0.04858137437331307,False,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,25,1,1,False,PRE_PRIMARY_PHASE_IMBALANCE,0.39932399999999996,2.0335117601935237e-05,0.4628203473263773,-0.007885595221811991,-0.7639485482637718,0.0024854485266083914,0.02396734951723123,0.1061794429932099,0.23977274400000004,0.0488751779945608,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
