run_id,Tick,rho,Moran_I_Act_Instant,Moran_I_Psi_Instant_RefOnly
flight6_probe1_overcrowding_20x20,0,0.1175,[-0.00656983],[0.27235107]
flight6_probe1_overcrowding_20x20,10,0.0725,[-0.02239985],[0.1398738]
flight6_probe1_overcrowding_20x20,20,0.1025,[-0.01909097],[0.06798246]
flight6_probe1_overcrowding_20x20,30,0.105,[-0.01755786],[0.07073138]
flight6_probe1_overcrowding_20x20,40,0.0925,[-0.00513737],[0.15666667]
flight6_probe1_overcrowding_20x20,50,0.08,[0.01494565],[0.12712191]
flight6_probe1_overcrowding_20x20,60,0.07,[0.0015361],[0.08778148]
flight6_probe1_overcrowding_20x20,70,0.1075,[0.03589343],[0.11385199]
flight6_probe1_overcrowding_20x20,80,0.0675,[-0.03266806],[0.07676075]
flight6_probe1_overcrowding_20x20,90,0.0925,[0.00230809],[0.11416233]
flight6_probe1_overcrowding_20x20,100,0.105,[0.04229848],[0.15649677]
flight6_probe1_overcrowding_20x20,110,0.0625,[-0.04533333],[0.07427576]
flight6_probe1_overcrowding_20x20,120,0.11,[-0.02145046],[0.10758348]
flight6_probe1_overcrowding_20x20,130,0.0775,[-0.04030073],[0.07142857]
flight6_probe1_overcrowding_20x20,140,0.08,[0.01494565],[0.16102443]
flight6_probe1_overcrowding_20x20,150,0.0925,[-0.02747375],[0.15841584]
flight6_probe1_overcrowding_20x20,160,0.0925,[-0.00513737],[0.04707991]
flight6_probe1_overcrowding_20x20,170,0.08,[-0.01902174],[0.12206237]
flight6_probe1_overcrowding_20x20,180,0.0775,[-0.04904275],[0.15254237]
flight6_probe1_overcrowding_20x20,190,0.1,[-0.02083333],[0.09807692]
flight6_probe1_overcrowding_20x20,200,0.08,[0.01494565],[0.144]
flight6_probe1_overcrowding_20x20,210,0.0775,[-0.0315587],[0.07613226]
flight6_probe1_overcrowding_20x20,220,0.06,[0.00265957],[0.1006614]
flight6_probe1_overcrowding_20x20,230,0.105,[0.00904496],[0.1663193]
flight6_probe1_overcrowding_20x20,240,0.0775,[-0.02281668],[0.09922022]
flight6_probe1_overcrowding_20x20,250,0.0975,[0.01271397],[0.10568324]
flight6_probe1_overcrowding_20x20,260,0.075,[-2.20044203e-17],[0.07132244]
flight6_probe1_overcrowding_20x20,270,0.0875,[-0.0332681],[0.16208643]
flight6_probe1_overcrowding_20x20,280,0.06,[0.0248227],[0.13459349]
flight6_probe1_overcrowding_20x20,290,0.0975,[0.0340223],[0.08603766]
flight6_probe1_overcrowding_20x20,300,0.1,[-0.04166667],[0.1519174]
flight6_probe1_overcrowding_20x20,310,0.085,[0.00353584],[0.12809335]
flight6_probe1_overcrowding_20x20,320,0.105,[-0.02420857],[0.09389334]
flight6_probe1_overcrowding_20x20,330,0.085,[0.00353584],[0.13802692]
flight6_probe1_overcrowding_20x20,340,0.0625,[-0.024],[0.10341952]
flight6_probe1_overcrowding_20x20,350,0.085,[-0.00450016],[0.06979965]
flight6_probe1_overcrowding_20x20,360,0.08,[-0.02751359],[0.13411079]
flight6_probe1_overcrowding_20x20,370,0.0925,[-0.02002829],[0.05178931]
flight6_probe1_overcrowding_20x20,380,0.095,[0.03314917],[0.05894886]
flight6_probe1_overcrowding_20x20,390,0.11,[-0.04060266],[0.07583759]
flight6_probe1_overcrowding_20x20,400,0.0825,[-0.03211956],[0.04781199]
flight6_probe1_overcrowding_20x20,410,0.08,[-0.02751359],[0.09521158]
flight6_probe1_overcrowding_20x20,420,0.1,[-0.02083333],[0.08612919]
flight6_probe1_overcrowding_20x20,430,0.0975,[-0.00149158],[0.06454406]
flight6_probe1_overcrowding_20x20,440,0.0775,[0.09957164],[0.23524955]
flight6_probe1_overcrowding_20x20,450,0.06,[0.01374113],[0.14772727]
flight6_probe1_overcrowding_20x20,460,0.0725,[-0.02239985],[0.12560386]
flight6_probe1_overcrowding_20x20,470,0.0625,[-0.01333333],[0.13576367]
flight6_probe1_overcrowding_20x20,480,0.095,[0.00407095],[0.14935011]
flight6_probe1_overcrowding_20x20,490,0.095,[-0.04681593],[0.05261723]
flight6_probe1_overcrowding_20x20,500,0.0825,[-0.01560565],[0.12533043]
flight6_probe1_overcrowding_20x20,510,0.075,[-0.01801802],[0.08644036]
flight6_probe1_overcrowding_20x20,520,0.0875,[0.01369863],[0.05392621]
flight6_probe1_overcrowding_20x20,530,0.0725,[0.01477833],[0.17241379]
flight6_probe1_overcrowding_20x20,540,0.07,[-0.00806452],[0.11717496]
flight6_probe1_overcrowding_20x20,550,0.07,[-0.01766513],[0.09821986]
flight6_probe1_overcrowding_20x20,560,0.085,[-0.01253616],[0.03933779]
flight6_probe1_overcrowding_20x20,570,0.0875,[-0.02544031],[0.2207684]
flight6_probe1_overcrowding_20x20,580,0.0825,[-0.0238626],[0.0964802]
flight6_probe1_overcrowding_20x20,590,0.095,[0.00407095],[0.02252111]
flight6_probe1_overcrowding_20x20,600,0.0575,[0.01972091],[0.15687554]
flight6_probe1_overcrowding_20x20,610,0.085,[-0.02057216],[0.07142857]
flight6_probe1_overcrowding_20x20,620,0.06,[-0.00842199],[0.11309524]
flight6_probe1_overcrowding_20x20,630,0.0725,[0.00548378],[0.23879948]
flight6_probe1_overcrowding_20x20,640,0.06,[0.00265957],[0.09071906]
flight6_probe1_overcrowding_20x20,650,0.085,[0.01157184],[0.13597903]
flight6_probe1_overcrowding_20x20,660,0.075,[0.01801802],[0.16714123]
flight6_probe1_overcrowding_20x20,670,0.07,[0.0015361],[0.125]
flight6_probe1_overcrowding_20x20,680,0.07,[0.0015361],[0.09687275]
flight6_probe1_overcrowding_20x20,690,0.115,[-0.00712356],[0.09292035]
flight6_probe1_overcrowding_20x20,700,0.0775,[-0.02281668],[0.08773548]
flight6_probe1_overcrowding_20x20,710,0.09,[0.02319902],[0.16303232]
flight6_probe1_overcrowding_20x20,720,0.065,[0.00246812],[0.14574899]
flight6_probe1_overcrowding_20x20,730,0.085,[0.00353584],[0.12568306]
flight6_probe1_overcrowding_20x20,740,0.08,[0.0234375],[0.16629364]
flight6_probe1_overcrowding_20x20,750,0.06,[-0.00842199],[0.07914123]
flight6_probe1_overcrowding_20x20,760,0.07,[-0.02726575],[0.10608747]
flight6_probe1_overcrowding_20x20,770,0.065,[0.00246812],[0.17373109]
flight6_probe1_overcrowding_20x20,780,0.11,[-0.00868233],[0.04863911]
flight6_probe1_overcrowding_20x20,790,0.0825,[0.01742218],[0.1712963]
flight6_probe1_overcrowding_20x20,800,0.0625,[-0.024],[0.13550305]
flight6_probe1_overcrowding_20x20,810,0.0875,[-0.00978474],[0.10646961]
flight6_probe1_overcrowding_20x20,820,0.0675,[0.02690895],[0.05985915]
flight6_probe1_overcrowding_20x20,830,0.0925,[0.00230809],[0.07294691]
flight6_probe1_overcrowding_20x20,840,0.0625,[-0.00266667],[0.07718121]
flight6_probe1_overcrowding_20x20,850,0.0775,[-0.00533263],[0.04845741]
flight6_probe1_overcrowding_20x20,860,0.105,[0.00904496],[0.06030782]
flight6_probe1_overcrowding_20x20,870,0.0775,[0.0471195],[0.15481172]
flight6_probe1_overcrowding_20x20,880,0.0725,[0.02407287],[0.13567557]
flight6_probe1_overcrowding_20x20,890,0.0675,[0.04676795],[0.10196078]
flight6_probe1_overcrowding_20x20,900,0.095,[0.00407095],[0.11058405]
flight6_probe1_overcrowding_20x20,910,0.055,[-0.02212602],[0.14265301]
flight6_probe1_overcrowding_20x20,920,0.0825,[-0.01560565],[0.05162194]
flight6_probe1_overcrowding_20x20,930,0.0625,[-0.03466667],[0.09977494]
flight6_probe1_overcrowding_20x20,940,0.0625,[-0.01333333],[0.12212468]
flight6_probe1_overcrowding_20x20,950,0.0575,[-0.02640987],[0.14864865]
flight6_probe1_overcrowding_20x20,960,0.0475,[-0.00842658],[0.15319477]
flight6_probe1_overcrowding_20x20,970,0.065,[0.01275195],[0.08893347]
flight6_probe1_overcrowding_20x20,980,0.065,[0.09502262],[0.07890007]
flight6_probe1_overcrowding_20x20,990,0.0875,[0.01369863],[0.01403743]
flight6_probe1_overcrowding_20x20,1000,0.0975,[-0.01569714],[0.03806084]
flight6_probe1_overcrowding_20x20,1010,0.0775,[-0.01407466],[-0.01274465]
flight6_probe1_overcrowding_20x20,1020,0.065,[-0.00781571],[0.00775888]
flight6_probe1_overcrowding_20x20,1030,0.1025,[-0.00550309],[0.0951087]
flight6_probe1_overcrowding_20x20,1040,0.0925,[-0.0572556],[0.0617284]
flight6_probe1_overcrowding_20x20,1050,0.0525,[0.03254178],[0.13336543]
flight6_probe1_overcrowding_20x20,1060,0.085,[0.00353584],[0.04022701]
flight6_probe1_overcrowding_20x20,1070,0.09,[-0.03021978],[0.04143844]
