column,compressed_bytes
Tick,41685
Agent_X,50676
Agent_Y,204724
b_i_v,5129141
b_i_u,5129141
b_i_r,5129141
limiting_base_argmin,243206
Lambda_multiplicative,5129141
Lambda_additive,5129141
Lambda_total,5129141
Local_Density,1568395
Drive_Raw,12806974
Term_Density_Pos,1568396
Term_Overcrowding,1568422
Term_Offset,19445
p_base,12867423
p_act,12867423
PRNG_draw,40048069
is_active,489923
Psi_local,1570290
gamma_coef,19445
Delta_v,1570382
Delta_u,1570382
Delta_r,1570382
Term_Lambda,5129141

cardinality_1e-6_precision
Lambda_total,79806
Drive_Raw,266147
p_act,100826
Psi_local,15
Local_Density,9
