column,compressed_bytes
Tick,41685
Agent_X,50676
Agent_Y,204724
b_i_v,11909454
b_i_u,11905611
b_i_r,11909976
limiting_base_argmin,243206
Lambda_multiplicative,11921455
Lambda_additive,11921454
Lambda_total,11909218
Local_Density,2412743
Drive_Raw,30200141
Term_Density_Pos,2412750
Term_Overcrowding,2412775
Term_Offset,19445
p_base,30258083
p_act,30256812
PRNG_draw,40048069
is_active,612529
Psi_local,2524676
gamma_coef,19445
Delta_v,2524790
Delta_u,2524790
Delta_r,2524790
Term_Lambda,11909218

cardinality_1e-6_precision
Lambda_total,164451
Drive_Raw,576689
p_act,271716
Psi_local,17
Local_Density,9
