Tick,epoch,Lambda_total_mean,Lambda_total_std,Lambda_total_min,Lambda_total_max,Drive_Raw_mean,Drive_Raw_std,Drive_Raw_min,Drive_Raw_max,p_act_mean,p_act_std,p_act_min,p_act_max,Psi_local_mean,Psi_local_std,Psi_local_min,Psi_local_max,b_i_v_mean,b_i_v_std,b_i_v_min,b_i_v_max,b_i_u_mean,b_i_u_std,b_i_u_min,b_i_u_max,b_i_r_mean,b_i_r_std,b_i_r_min,b_i_r_max,Local_Density_mean,Local_Density_std,Local_Density_min,Local_Density_max
0,0,0.3192018294418844,0.0860849757976487,0.14245038720183165,0.5910123661812856,-2.3319426822324623,0.4012412358527596,-3.841930788412582,-1.1872732169813198,0.10296359721994001,0.034957645066343954,0.030791596100979146,0.24140950368081113,1.18,2.08269056751117,-5.0,8.0,0.7491304602827585,0.08648756705619307,0.6013133520805053,0.8997274220415777,0.7496159727816076,0.08981643483418879,0.6002637759408663,0.8997345908422204,0.749083208543877,0.08843500213117872,0.6014581541576042,0.897768184308253,0.4975,0.16675206145652294,0.125,1.0
1,0,0.32116999808930147,0.086312708055309,0.14245038720183165,0.5776459303769051,-2.462507507642794,0.3926222175801129,-3.2620496800178262,-1.2530033353346437,0.09255869363727509,0.031542582115497465,0.046527341759319836,0.22995887330922546,0.005,0.46365396579777035,-3.0,3.0,0.7503104602827585,0.08648399541662162,0.6023133520805053,0.9027901495237427,0.7507959727816076,0.0896804721837588,0.6004337729548669,0.8992369367026359,0.7502632085438771,0.0883998662031679,0.6017597328371038,0.900768184308253,0.1175,0.10543066441979772,0.0,0.5
2,0,0.3211836700593701,0.08635107095104633,0.14245038720183165,0.5751825991914543,-2.578077819762519,0.3792119309959217,-3.4301984511926733,-1.2105466148593105,0.08406274115732051,0.02858149692224622,0.04105125348777204,0.23730830456184504,-0.02,0.41182520563948,-4.0,2.0,0.7503154602827585,0.08647861232165485,0.6023133520805053,0.9027901495237427,0.7508009727816076,0.08969967417658263,0.6004337729548669,0.9007345908422204,0.7502682085438771,0.08840810514490667,0.6017597328371038,0.900768184308253,0.0575,0.07430931973850925,0.0,0.375
3,0,0.3211544134268209,0.08638239389239749,0.14245038720183165,0.5778299942946986,-2.5100698462927165,0.3889579054563971,-3.297966031382012,-1.4039431602771733,0.08895146728042447,0.02975079946371088,0.04528462198441924,0.2052192255914833,-0.01,0.43,-2.0,3.0,0.7502954602827586,0.0865036825693638,0.6023133520805053,0.9027901495237427,0.7507809727816077,0.0896872003438206,0.6004337729548669,0.9007345908422204,0.750248208543877,0.08841488209507788,0.6007597328371038,0.900768184308253,0.095,0.10438809798056482,0.0,0.5
4,0,0.32114449186161365,0.0864293941734389,0.14245038720183165,0.5778299942946986,-2.5466720325535452,0.3874464828110423,-3.314074301649238,-1.3874996458572384,0.08640366727302325,0.02967346693759124,0.044740586362259825,0.20780915192858831,-0.02,0.3736308338453881,-4.0,2.0,0.7502854602827586,0.08650626839364642,0.6023133520805053,0.9027901495237427,0.7507709727816076,0.08970607052885539,0.6004337729548669,0.9007345908422204,0.7502382085438771,0.08842381443461321,0.6007597328371038,0.900768184308253,0.0725,0.08325412902673356,0.0,0.375
5,0,0.32110702927620044,0.08641181875761668,0.14245038720183165,0.5778299942946986,-2.556196882895198,0.3869195180011302,-3.4301984511926733,-1.24308028947185,0.08572149501029357,0.02960904381045631,0.04105125348777204,0.2316612691915522,0.005,0.2827985148475854,-2.0,2.0,0.7502654602827586,0.08648272515937189,0.6023133520805053,0.9027901495237427,0.7507509727816077,0.08970124352905973,0.6004337729548669,0.9007345908422204,0.750218208543877,0.08843311383003696,0.6007597328371038,0.900768184308253,0.0725,0.09630680142129111,0.0,0.5
6,0,0.3211110744365236,0.08639027630632004,0.14245038720183165,0.5778299942946986,-2.5699307022539055,0.38566095341528345,-3.314074301649238,-1.3874996458572384,0.08476690955374977,0.02905712887555619,0.044740586362259825,0.20780915192858831,-0.02,0.29933259094191533,-2.0,2.0,0.7502704602827586,0.0864787873918407,0.6023133520805053,0.9033439812319609,0.7507559727816077,0.08968945536220618,0.6004337729548669,0.9007345908422204,0.750223208543877,0.08842655399946864,0.6007597328371038,0.900768184308253,0.0625,0.08100925873009825,0.0,0.375
7,0,0.32108384468753587,0.08641675642494734,0.14245038720183165,0.5804865155631564,-2.536914621249857,0.39064825392949487,-3.314074301649238,-1.3598572737937356,0.08712363615404288,0.029730182945194403,0.044740586362259825,0.21222086501129295,-0.045,0.403701622488689,-3.0,2.0,0.7502504602827587,0.08649359278245833,0.6023133520805053,0.9033439812319609,0.7507359727816076,0.08967813966542204,0.6004337729548669,0.9007345908422204,0.750203208543877,0.0884593835417385,0.6007597328371038,0.900768184308253,0.0775,0.08620469824783333,0.0,0.375
8,0,0.32100887449514737,0.08642699115883214,0.14245038720183165,0.5804865155631564,-2.5144020020194104,0.4043458707475605,-3.4301984511926733,-1.2497732169813198,0.08906311348199632,0.031784068916383225,0.04105125348777204,0.2305120045350012,-0.025,0.4993746088859545,-3.0,3.0,0.7502054602827586,0.08650105432111983,0.6013133520805053,0.9033439812319609,0.7506909727816077,0.08965617451775831,0.6004337729548669,0.9007345908422204,0.7501582085438769,0.08847777445588313,0.6007597328371038,0.900768184308253,0.09,0.09491772753284815,0.0,0.375
9,0,0.32097839008339774,0.08652040485492779,0.14245038720183165,0.5804865155631564,-2.507961439666409,0.4114312849416604,-3.314074301649238,-1.1780539377473742,0.08971062172694966,0.032792356445456854,0.044740586362259825,0.24304826096661508,-0.065,0.500774400304169,-4.0,3.0,0.7501804602827586,0.08651152422205903,0.5993133520805053,0.9041476554801077,0.7506659727816077,0.08964198438869032,0.6004337729548669,0.9007345908422204,0.750133208543877,0.08853213093291093,0.6007597328371038,0.900768184308253,0.1,0.11388041973930374,0.0,0.5
