Tick,epoch,Lambda_total_mean,Lambda_total_std,Lambda_total_min,Lambda_total_max,Drive_Raw_mean,Drive_Raw_std,Drive_Raw_min,Drive_Raw_max,p_act_mean,p_act_std,p_act_min,p_act_max,Psi_local_mean,Psi_local_std,Psi_local_min,Psi_local_max,b_i_v_mean,b_i_v_std,b_i_v_min,b_i_v_max,b_i_u_mean,b_i_u_std,b_i_u_min,b_i_u_max,b_i_r_mean,b_i_r_std,b_i_r_min,b_i_r_max,Local_Density_mean,Local_Density_std,Local_Density_min,Local_Density_max
0,0,0.6746904166910257,0.05841108976767108,0.6002637759408663,0.8701991485808731,-0.9099883332358977,0.3117671637910567,-2.37332718222895,-0.041888571492830984,0.29819153344553967,0.06157725763697868,0.09437708257385528,0.494634094224673,0.31,1.5728636304524306,-5.0,6.0,0.7491304602827585,0.08648756705619307,0.6013133520805053,0.8997274220415777,0.7496159727816076,0.08981643483418879,0.6002637759408663,0.8997345908422204,0.749083208543877,0.08843500213117872,0.6014581541576042,0.897768184308253,0.4975,0.16675206145652294,0.125,1.0
1,0,0.6750004166910256,0.05841425354528435,0.5984337729548669,0.8671991485808731,-0.8424983332358977,0.2687645998075361,-1.56862748463629,-0.031203405676507145,0.3108872099631053,0.05585986620043457,0.18068802125871614,0.49727778364785186,0.045,1.2198258072364268,-5.0,5.0,0.7494404602827587,0.08653077346186851,0.6013133520805053,0.9021476554801077,0.7499259727816078,0.08972564309216827,0.5984337729548669,0.8997345908422204,0.749393208543877,0.08844946285171655,0.6017597328371038,0.899768184308253,0.305,0.14611639196202456,0.0,0.625
2,0,0.6750454166910257,0.05853106131652572,0.5984337729548669,0.8671991485808731,-0.8904433332358976,0.2855081094635893,-1.5925631130918592,-0.031203405676507145,0.3014558780455865,0.058291983930941184,0.17733335450254994,0.49727778364785186,-0.1,1.1661903789690602,-4.0,4.0,0.7494854602827585,0.08658519911624096,0.6003133520805053,0.9041476554801077,0.7499709727816076,0.08970800443278215,0.5984337729548669,0.9047345908422204,0.749438208543877,0.08856345202891633,0.5997597328371038,0.899768184308253,0.2775,0.16963195453687377,0.0,0.75
3,0,0.6749454166910256,0.058658194976397314,0.5984337729548669,0.8661991485808731,-0.8667808332358976,0.282322559060249,-2.022151656104181,0.027296594323492407,0.3061853096926266,0.05793160576656549,0.12572772138767388,0.5117554876385002,-0.06,1.0131140113531152,-4.0,4.0,0.7493854602827587,0.08668855943132635,0.5993133520805053,0.9041476554801077,0.7498709727816076,0.0897725210582978,0.5984337729548669,0.9047345908422204,0.749338208543877,0.08859757161137725,0.5994773010922388,0.900197053564604,0.3125,0.1684024198163435,0.0,0.875
4,0,0.6748854166910256,0.05866014700086245,0.5964337729548669,0.8641991485808731,-0.8670208332358976,0.2902704499774312,-1.8796618933338838,-0.09077107824390573,0.3063164869048613,0.05989266922472679,0.1411034368573411,0.4825495708358326,0.025,1.1744679646546345,-4.0,4.0,0.7493254602827587,0.08669289085023171,0.5973133520805053,0.9051476554801077,0.7498109727816076,0.08979381068105838,0.5964337729548669,0.9047345908422204,0.7492782085438771,0.08858101691203571,0.5964773010922388,0.899768184308253,0.3075,0.16646133184616782,0.0,0.875
5,0,0.6749104166910256,0.058608464544731446,0.5934337729548669,0.8641991485808731,-0.8806708332358976,0.28896683767009174,-1.954626104215576,-0.029888571492831417,0.3035033240938901,0.05928622598368223,0.1328093060777722,0.497603129199178,0.005,1.1067858871525242,-3.0,5.0,0.7493504602827586,0.08670904276668656,0.5973133520805053,0.9051476554801077,0.7498359727816077,0.08972194718973285,0.5934337729548669,0.9037345908422204,0.749303208543877,0.08859274644087262,0.5954773010922388,0.9014127804641079,0.3075,0.17648477271424864,0.0,0.875
6,0,0.6749154166910256,0.05865251019123324,0.5934337729548669,0.8661991485808731,-0.8694008332358976,0.2704718844104447,-1.5822817094293269,0.027296594323492407,0.30536448754620815,0.05638160052232769,0.17876785322514083,0.5117554876385002,-0.07,1.2021231218140678,-6.0,4.0,0.7493554602827587,0.08671513287861982,0.5963133520805053,0.9031476554801077,0.7498409727816076,0.0897856323523414,0.5934337729548669,0.9027345908422204,0.749308208543877,0.08859188538780427,0.5954773010922388,0.9014127804641079,0.3025,0.1662359016578549,0.0,0.875
7,0,0.6748454166910256,0.05868798612571596,0.5924337729548669,0.8661991485808731,-0.8846808332358976,0.28046598018926616,-1.5929080226380519,-0.029888571492831417,0.30247779728389607,0.05789748826543335,0.17728540028074524,0.497603129199178,-0.08,1.2383860464330176,-5.0,5.0,0.7492854602827586,0.08674674285604407,0.5943133520805053,0.9011476554801077,0.7497709727816076,0.08975911534366135,0.5924337729548669,0.9042369367026359,0.749238208543877,0.08860763185610149,0.5944773010922388,0.9014127804641079,0.2825,0.16758393419418224,0.0,0.75
8,0,0.6747654166910256,0.0587692561281181,0.5904337729548669,0.8671991485808731,-0.8621883332358976,0.2903121278992836,-1.5921841636721172,-0.031203405676507145,0.30730085414570485,0.06007226764343619,0.1773860540550628,0.49727778364785186,-0.015,1.1312714086372024,-5.0,4.0,0.7492054602827587,0.08680476641996789,0.5923133520805053,0.9011476554801077,0.7496909727816076,0.0897043245052502,0.5904337729548669,0.9052369367026359,0.749158208543877,0.08867781043990014,0.5944773010922388,0.9014127804641079,0.3275,0.16935539554439943,0.0,0.875
9,0,0.6747504166910256,0.0588109950647973,0.5884337729548669,0.8671991485808731,-0.8513108332358976,0.27704176769259115,-1.593000753789854,0.031296594323492855,0.3092198138101536,0.05783514536420585,0.1772725093471178,0.5127452749122836,-0.115,1.0157632598199247,-6.0,3.0,0.7491904602827586,0.08684271598555393,0.5913133520805053,0.9031476554801077,0.7496759727816077,0.08961284507464741,0.5884337729548669,0.9062369367026359,0.749143208543877,0.08876204588188008,0.5960292276327434,0.9014127804641079,0.32,0.15867616393144876,0.0,0.875
10,0,0.6746354166910256,0.05880123052982344,0.5884337729548669,0.8671991485808731,-0.8511458332358975,0.2701222643165925,-1.5961841636721172,-0.10038857149283054,0.309102287905896,0.05649818295724706,0.17683045043656015,0.4801746739121652,-0.075,1.1551515052147923,-5.0,5.0,0.7490754602827586,0.08690099128586587,0.5913133520805053,0.9041476554801077,0.7495609727816077,0.08956079162393811,0.5884337729548669,0.9063465230826847,0.749028208543877,0.08879475141790776,0.5960292276327434,0.9014127804641079,0.3,0.14973935688388673,0.0,0.75
11,0,0.6745604166910256,0.05873886726523196,0.5884337729548669,0.8671991485808731,-0.8564458332358975,0.27783680211051653,-1.5961841636721172,0.031296594323492855,0.308187758499439,0.05768577614472108,0.17683045043656015,0.5127452749122836,-0.065,1.088932963960592,-5.0,4.0,0.7490004602827586,0.0869761510726275,0.5913133520805053,0.9051476554801077,0.7494859727816077,0.08949818758300052,0.5884337729548669,0.9063465230826847,0.748953208543877,0.08873288369948325,0.5960292276327434,0.9014127804641079,0.3025,0.15505039503335682,0.0,0.75
12,0,0.6744954166910255,0.0587767656841448,0.5884337729548669,0.8671991485808731,-0.8738933332358977,0.29412875632877633,-1.8126562239757114,-0.06624192104648507,0.30500255088761213,0.06051703040154903,0.14891422934448653,0.4886111169602114,0.015,1.334082081432773,-5.0,5.0,0.7489354602827586,0.08703179684663384,0.5903133520805053,0.9051476554801077,0.7494209727816077,0.08951410134994331,0.5884337729548669,0.9063465230826847,0.748888208543877,0.08876607665400223,0.5954773010922388,0.903197053564604,0.2925,0.16366887303332914,0.0,0.875
13,0,0.6745104166910256,0.05880781389919922,0.5884337729548669,0.8681991485808731,-0.8822708332358977,0.29873171508190477,-1.995971059768996,-0.027203405676507586,0.3034091565664713,0.06099583415806469,0.1284303184724672,0.4982675722705035,0.045,1.112643249204344,-4.0,4.0,0.7489504602827586,0.08712400909534482,0.5903133520805053,0.9051476554801077,0.7494359727816077,0.08952743848764717,0.5884337729548669,0.9063465230826847,0.7489032085438769,0.08879880182976461,0.5944773010922388,0.905197053564604,0.315,0.17917344948401256,0.0,0.875
14,0,0.6745554166910256,0.05874300172881,0.5894337729548669,0.8681991485808731,-0.8492783332358976,0.26871953554034816,-1.579519702809982,-0.027203405676507586,0.30944725400476897,0.05638212796614964,0.17915487942669578,0.4982675722705035,0.015,1.170373871888808,-5.0,5.0,0.7489954602827587,0.08712815137618532,0.5903133520805053,0.9051476554801077,0.7494809727816077,0.08957673601004054,0.5894337729548669,0.9052369367026359,0.748948208543877,0.08870930864451845,0.5944773010922388,0.905197053564604,0.3175,0.15554340230302283,0.0,0.75
15,0,0.6745704166910257,0.05868703863665945,0.5904337729548669,0.8691991485808731,-0.8807808332358976,0.28144166068458737,-1.6121841636721173,0.03929659432349197,0.30329282648968997,0.05821160950336461,0.17462273604574693,0.5147246557080667,0.02,1.0860939185908371,-4.0,4.0,0.7490104602827585,0.08705621648114162,0.5933133520805053,0.9051476554801077,0.7494959727816076,0.0895367405431294,0.5904337729548669,0.9052369367026359,0.748963208543877,0.08871083095548607,0.5944773010922388,0.905197053564604,0.27,0.15609492304364034,0.0,0.625
16,0,0.6745904166910256,0.058696470696753454,0.5904337729548669,0.8691991485808731,-0.8882008332358976,0.28469539973978003,-1.9501411843960739,-0.16301430536144323,0.30188913888477814,0.058253050490020844,0.13329258463959082,0.46474306781322816,-0.06,1.23547561691844,-5.0,3.0,0.7490304602827585,0.08706590683923993,0.5933133520805053,0.9051476554801077,0.7495159727816076,0.0896144890961304,0.5904337729548669,0.9052369367026359,0.748983208543877,0.08859670300086436,0.5934773010922388,0.904197053564604,0.295,0.1756861548329862,0.0,0.875
17,0,0.6745304166910256,0.05871929773767229,0.5904337729548669,0.8671991485808731,-0.8465658332358976,0.2836914652866704,-2.3667477893260385,0.031296594323492855,0.3103674361225722,0.05814788761030874,0.0948863052663508,0.5127452749122836,-0.04,1.1740528097151337,-5.0,5.0,0.7489704602827587,0.08696510808173073,0.5933133520805053,0.9081476554801077,0.7494559727816076,0.08968720548402401,0.5904337729548669,0.9052369367026359,0.7489232085438771,0.08860501618099163,0.5934773010922388,0.904197053564604,0.35,0.1617772388193098,0.0,1.0
18,0,0.6744904166910256,0.058782447443166456,0.5904337729548669,0.8671991485808731,-0.8670383332358976,0.28066867248935246,-1.6048851907543984,0.031296594323492855,0.30608356474958387,0.05812579187904169,0.17562694959037708,0.5127452749122836,-0.11,0.993931587182941,-5.0,4.0,0.7489304602827587,0.0868940012961386,0.5933133520805053,0.9081476554801077,0.7494159727816077,0.08971756091437946,0.5904337729548669,0.9042369367026359,0.748883208543877,0.0886792805466213,0.5934773010922388,0.904197053564604,0.2775,0.14956186011146025,0.0,0.75
19,0,0.6743804166910256,0.05874106991228334,0.5914337729548669,0.8671991485808731,-0.8749783332358976,0.2948437367436558,-1.6045631130918592,0.031296594323492855,0.3047976997033956,0.060663060646680776,0.1756713745187193,0.5127452749122836,0.1,1.284523257866513,-5.0,4.0,0.7488204602827586,0.08684226685338092,0.5933133520805053,0.9061476554801077,0.7493059727816076,0.08974268676098125,0.5914337729548669,0.9042369367026359,0.7487732085438771,0.08857696036665698,0.5934773010922388,0.9027315131995429,0.295,0.16537835408541227,0.0,0.75
20,0,0.6744804166910257,0.05878891058180567,0.5914337729548669,0.8671991485808731,-0.8845783332358976,0.2800495260150243,-1.626090795631045,-0.017888571492830962,0.30250091366083737,0.05760991191707169,0.17272292115917665,0.5005726966166835,0.055,1.2357082989120045,-5.0,6.0,0.7489204602827586,0.08694080626297515,0.5935709868573859,0.9064065986186649,0.7494059727816077,0.0897711608853994,0.5914337729548669,0.9042369367026359,0.748873208543877,0.08857599735241581,0.5934773010922388,0.9027315131995429,0.32,0.18227726133558184,0.0,0.75
21,0,0.6745354166910257,0.05890149640733946,0.5914337729548669,0.8641991485808731,-0.8502958332358976,0.28178105258799413,-1.579621058110142,-0.017888571492830962,0.3095336172096092,0.05885593254527489,0.17914066456847808,0.5005726966166835,-0.165,1.0572487881288868,-4.0,4.0,0.7489754602827585,0.08702822194753852,0.5933133520805053,0.9104065986186649,0.7494609727816076,0.08984597100253752,0.5914337729548669,0.9047345908422204,0.7489282085438771,0.08857935175255141,0.5934773010922388,0.9066509969734138,0.305,0.1511104728336193,0.0,0.75
22,0,0.6743704166910256,0.05893851323250975,0.5914337729548669,0.8621991485808731,-0.8609558332358976,0.2845349011261226,-1.5931964744447118,0.011296594323492393,0.30740944401566817,0.05926517412382409,0.17724530402277835,0.5077958773625927,-0.05,0.9733961166965892,-4.0,5.0,0.7488104602827587,0.0871156114271665,0.5933133520805053,0.9104065986186649,0.7492959727816078,0.08987041308699015,0.5914337729548669,0.9042369367026359,0.748763208543877,0.08852987024631451,0.5934773010922388,0.9066509969734138,0.2825,0.1472349313172659,0.0,0.75
23,0,0.6743204166910256,0.05894075209955774,0.5914337729548669,0.8621991485808731,-0.8461558332358976,0.2528767667756066,-1.5766516561041808,0.011296594323492393,0.30972911765268485,0.0537133956625654,0.17955750989494812,0.5077958773625927,-0.12,1.0514751542475933,-4.0,3.0,0.7487604602827587,0.08715987989181768,0.5933133520805053,0.9104065986186649,0.7492459727816076,0.08988647666107427,0.5914337729548669,0.9042369367026359,0.748713208543877,0.08846864629441809,0.5944773010922388,0.9066509969734138,0.295,0.1417193529480007,0.0,0.75
24,0,0.6742004166910256,0.058911055923854275,0.5914337729548669,0.8621991485808731,-0.8750733332358976,0.27683897680059005,-1.6140907956310446,-0.05120340567650761,0.30437759438769313,0.05698750295769995,0.17436122043508318,0.4923299251624208,-0.02,1.2998461447417538,-6.0,4.0,0.7486404602827587,0.0871344802339955,0.5933133520805053,0.9104065986186649,0.7491259727816076,0.0899779642319665,0.5914337729548669,0.9052369367026359,0.748593208543877,0.08837080194510374,0.5964773010922388,0.9066509969734138,0.275,0.15360257159305635,0.0,0.75
25,0,0.6741804166910257,0.05886276369690032,0.5877787023114004,0.8621991485808731,-0.8829658332358976,0.2908399162811366,-2.0062594025164024,-0.013888571492831403,0.303104504041116,0.05900822217031133,0.12736181689237547,0.5015626338088363,-0.065,1.029939318600858,-5.0,4.0,0.7486204602827585,0.08713706108146026,0.5933133520805053,0.9104065986186649,0.7491059727816076,0.08996767162895677,0.5877787023114004,0.9052369367026359,0.748573208543877,0.08832348174670986,0.5964773010922388,0.9066509969734138,0.2925,0.16953060195728678,0.0,0.875
26,0,0.6741154166910256,0.058865628240296744,0.5877787023114004,0.8621991485808731,-0.8513508332358977,0.2571430666361879,-1.891578875663864,0.011296594323492393,0.30878322082500725,0.053825735573218424,0.13975390631837195,0.5077958773625927,-0.045,1.0597051476708037,-5.0,3.0,0.7485554602827585,0.08716967149207892,0.5933133520805053,0.9104065986186649,0.7490409727816076,0.08991136469403702,0.5877787023114004,0.9062369367026359,0.748508208543877,0.08833165046866949,0.5964773010922388,0.9066509969734138,0.315,0.15484871649451928,0.0,0.875
27,0,0.6740704166910255,0.0588503458527738,0.5877787023114004,0.8611991485808731,-0.8496558332358977,0.27609218739583397,-1.568759402516402,-0.013888571492831403,0.3095144449785525,0.05809346290243797,0.18066938743213964,0.5015626338088363,-0.2,1.1113055385446435,-4.0,4.0,0.7485104602827586,0.0871528466445882,0.5933133520805053,0.9104065986186649,0.7489959727816077,0.08993425484196375,0.5877787023114004,0.9072369367026359,0.7484632085438769,0.08832044194001448,0.5964773010922388,0.9066509969734138,0.315,0.15332767199693603,0.0,0.75
28,0,0.6738704166910255,0.05880725836777316,0.5877787023114004,0.8581991485808731,-0.8823308332358977,0.2879126331310828,-1.5823570910037437,-0.08277107824390662,0.3031407908843711,0.0592653598357399,0.17875730025064446,0.48452584592362263,-0.055,1.1366507819026914,-6.0,4.0,0.7483104602827586,0.08708213041947305,0.5943133520805053,0.9084065986186649,0.7487959727816077,0.0900160745285814,0.5877787023114004,0.9072369367026359,0.7482632085438771,0.08828125136191196,0.5964773010922388,0.9046509969734138,0.265,0.15158537198555802,0.0,0.75
29,0,0.6738154166910256,0.05871520651792701,0.5877787023114004,0.8579028571267923,-0.8800508332358976,0.2897440227628677,-1.6196370611333424,-0.07920340567650719,0.3036595692070074,0.05950134468356269,0.17360238067826592,0.48540739834989616,0.075,1.0997158723961387,-4.0,6.0,0.7482554602827587,0.08703540356706432,0.5935709868573859,0.9084065986186649,0.7487409727816076,0.09001884699244168,0.5877787023114004,0.9072369367026359,0.748208208543877,0.08816822597225109,0.5964773010922388,0.9046509969734138,0.275,0.15637495003996005,0.0,0.75
30,0,0.6738904166910256,0.05861491568040169,0.5877787023114004,0.8589028571267923,-0.8931883332358975,0.28096887676731946,-1.5998830894690266,-0.06438857149283095,0.3007838825426985,0.05765142544037933,0.17631797580586792,0.48906933207251996,-0.14,1.120446339634344,-4.0,4.0,0.7483304602827586,0.08697643730158067,0.5943133520805053,0.9084065986186649,0.7488159727816077,0.08996435921000898,0.5877787023114004,0.9072369367026359,0.748283208543877,0.08815223580072189,0.5964773010922388,0.9046509969734138,0.265,0.16035117710824576,0.0,0.75
