Tick,epoch,Lambda_total_mean,Lambda_total_std,Lambda_total_min,Lambda_total_max,Drive_Raw_mean,Drive_Raw_std,Drive_Raw_min,Drive_Raw_max,p_act_mean,p_act_std,p_act_min,p_act_max,Psi_local_mean,Psi_local_std,Psi_local_min,Psi_local_max,b_i_v_mean,b_i_v_std,b_i_v_min,b_i_v_max,b_i_u_mean,b_i_u_std,b_i_u_min,b_i_u_max,b_i_r_mean,b_i_r_std,b_i_r_min,b_i_r_max,Local_Density_mean,Local_Density_std,Local_Density_min,Local_Density_max
0,0,0.32170334010320795,0.08719571300477597,0.13914428705063034,0.6355863542196639,-2.3382647645871684,0.4224411595510028,-4.00290414816264,-0.904743824155255,0.10296748936199568,0.036429764794490616,0.027755636720930947,0.29519585028475753,1.2875,2.1768311257421877,-7.0,7.0,0.750964717351705,0.08688981595266868,0.6000442850294928,0.8997274220415777,0.7491800747562103,0.08754806297243366,0.6002637759408663,0.8998563514740195,0.7516347235244613,0.08800941354658616,0.6002334700939636,0.8997574269010264,0.495625,0.1798447681335212,0.0,1.0
1,0,0.3238792141767571,0.08754514169148567,0.14245038720183165,0.6331890439611862,-2.478389393292972,0.40389564397270766,-3.369798186683156,-1.0086656827148506,0.09165978059319806,0.03239922636121016,0.04292026797136997,0.27456864937951897,-0.0025,0.556770823589024,-4.0,4.0,0.7522522173517049,0.08680732717139714,0.5986459111072814,0.9030470183398527,0.7504675747562102,0.08749666770320234,0.5984106457876179,0.9028563514740195,0.7529222235244614,0.08802067688656615,0.6002334700939636,0.901768184308253,0.106875,0.11050134331762668,0.0,0.625
2,0,0.3238793365332232,0.08756629368362238,0.14245038720183165,0.6331890439611862,-2.5162795288671074,0.4012715574196492,-3.4301984511926733,-1.1359505352748576,0.08887849229703555,0.03175514063168858,0.04105125348777204,0.25063397695627176,-0.02125,0.4368048048041596,-5.0,3.0,0.752249717351705,0.08680949613104459,0.5986459111072814,0.9030470183398527,0.7504650747562103,0.08751439314557267,0.5974106457876179,0.9028563514740195,0.7529197235244612,0.08802350504187885,0.5990292276327434,0.901768184308253,0.088125,0.10619299941615737,0.0,0.625
3,0,0.3238356031353116,0.08751547262378225,0.14245038720183165,0.6331890439611862,-2.4962982124587536,0.40050532879807804,-3.424969459029165,-1.154743824155255,0.09025470892005809,0.03152130917514685,0.0412089136165096,0.24722743449226986,-0.0075,0.47821935343522015,-4.0,3.0,0.7522284673517049,0.08679709254122508,0.5986459111072814,0.9047918528978457,0.7504438247562102,0.0875074968680669,0.5974106457876179,0.9028563514740195,0.7528984735244613,0.08800816217440524,0.5990292276327434,0.901768184308253,0.094375,0.09891797422612333,0.0,0.625
4,0,0.3238189578851777,0.087495206451906,0.14245038720183165,0.6331890439611862,-2.506286668459289,0.4028247281045529,-3.4301984511926733,-1.069013549218972,0.0896168649836324,0.03189733816896947,0.04105125348777204,0.26303481784287225,-0.02625,0.4866322405061136,-4.0,3.0,0.752220967351705,0.08677463969121839,0.5986459111072814,0.9047918528978457,0.7504363247562102,0.08751239505702345,0.5974106457876179,0.9028563514740195,0.7528909735244612,0.08800600288048499,0.5990292276327434,0.901768184308253,0.091875,0.10419145538382693,0.0,0.625
5,0,0.3237750075569838,0.08748702688771103,0.14245038720183165,0.6331890439611862,-2.501071844772065,0.40084244617657433,-3.4301984511926733,-1.154743824155255,0.08992829317854178,0.031693776182145125,0.04105125348777204,0.24722743449226986,-0.04,0.5719702789481286,-5.0,3.0,0.7521947173517048,0.08678710681920694,0.5986459111072814,0.9047918528978457,0.7504100747562102,0.08752363801661747,0.5965028582694459,0.9028563514740195,0.7528647235244612,0.08798827968328281,0.5990292276327434,0.902768184308253,0.094375,0.10448721512701925,0.0,0.625
6,0,0.3237044551898641,0.08745433864334111,0.14245038720183165,0.6331890439611862,-2.4786196792405435,0.40554832501130716,-3.424969459029165,-1.0086656827148506,0.09169337441581799,0.03271108746841994,0.0412089136165096,0.27456864937951897,-0.0325,0.4638898037249795,-4.0,3.0,0.7521547173517049,0.08679884600822695,0.5986459111072814,0.9047918528978457,0.7503700747562102,0.08751549895707895,0.5965028582694459,0.9028563514740195,0.7528247235244612,0.08797550427861763,0.5990292276327434,0.903768184308253,0.1075,0.1114815007075165,0.0,0.625
7,0,0.32364357640312574,0.08741879527917092,0.14245038720183165,0.6331890439611862,-2.5008944443874968,0.3972272359396433,-3.4301984511926733,-1.125147017818429,0.08987485770777434,0.03168788516419703,0.04105125348777204,0.25260723502611,-0.05625,0.4616123238172915,-3.0,2.0,0.7521222173517049,0.08678918212896033,0.5986459111072814,0.9047918528978457,0.7503375747562103,0.08749748893179868,0.5965028582694459,0.9028563514740195,0.7527922235244613,0.08797514246856987,0.5990292276327434,0.903768184308253,0.091875,0.09660446094772228,0.0,0.5
8,0,0.3235496208763758,0.0874179142253947,0.14245038720183165,0.6331890439611862,-2.4939265164944966,0.40961185188344323,-3.4301984511926733,-1.154743824155255,0.09068924720267145,0.03285024516824441,0.04105125348777204,0.24722743449226986,-0.0275,0.4407309269838004,-3.0,2.0,0.752065967351705,0.086780129709567,0.5986459111072814,0.9047918528978457,0.7502813247562102,0.08750575845612578,0.5964106457876179,0.9028563514740195,0.7527359735244613,0.08798511020422958,0.5990292276327434,0.903768184308253,0.098125,0.10486412339308425,0.0,0.625
9,0,0.32350303779245976,0.08741219230896703,0.14245038720183165,0.6275294302408891,-2.520284723830161,0.4063827820785637,-3.3709437318218414,-0.9273822790364434,0.08869753316042635,0.03177141188828987,0.04288382982306406,0.2906215340391216,-0.01375,0.47545866013776633,-3.0,3.0,0.7520384673517049,0.08676970123519158,0.5986459111072814,0.9047918528978457,0.7502538247562103,0.087525411226613,0.5964106457876179,0.9028563514740195,0.7527084735244612,0.0879778842875644,0.5990292276327434,0.903768184308253,0.084375,0.0986728337740434,0.0,0.5
