,coef,std_err,p_value,empirical_result,structural_status,classification_notes
Intercept,-3.9999999999999196,,,,,
C(F_variant)[T.F_LR],-9.59031031672053e-15,1.2922602419860805,0.9999999999999941,,,
C(scale)[T.40x40],-4.1151977658859806e-14,,,,,
C(epoch)[T.1],-3.9270100843022404e-14,0.04799935714204799,0.9999999999993472,,,
C(epoch)[T.2],6.327187038190907e-15,,,,,
C(epoch)[T.3],-3.887490915115144e-14,0.1509622534458094,0.9999999999997945,,,
C(epoch)[T.4],-1.0933962069081815e-14,,,,,
C(epoch)[T.5],-2.5910155097841336e-14,,,,,
C(epoch)[T.6],-2.1774520121004004e-14,,,,,
C(scale)[T.40x40]:C(F_variant)[T.F_LR],-5.205688310971901e-15,,,,,
Lambda_total,0.003789660055190325,,,,,
Local_Density,-0.05499621294438839,96893526415691.67,0.9999999999999996,,,
Local_Density_squared,-0.23549436733082985,8349498257.054471,0.999999999977496,,,
Term_Lambda,0.99907472578343,82344989892.23746,0.9999999999903194,,,
Term_Density_Pos,1.0184128982946277,30173550337014.87,0.999999999999973,,,
Term_Overcrowding,0.9411264092701117,2087294575.3335352,0.9999999996402471,,,
Psi_local,6.891936514893818e-16,2.9943784040948496e-05,0.9999999999816357,,,
b_i_v,5.8943735309346934e-15,0.0242751652490456,0.9999999999998063,,,
b_i_u,-4.45932353543288e-16,0.041522610056145465,0.9999999999999915,,,
b_i_r,1.0276501871686605e-14,0.05398926712206502,0.9999999999998481,,,
rho_global,5.250400808565203e-14,0.07481027061805304,0.99999999999944,,,
C(scale)[T.40x40]:rho_global,-4.261521691084624e-14,0.07272219516127516,0.9999999999995325,,,
psi_global,2.6522566694969774e-15,0.44245535577827805,0.9999999999999952,,,
C(scale)[T.40x40]:psi_global,-3.038801849042372e-15,0.535206685653252,0.9999999999999954,,,
