,coef,std_err,p_value,empirical_result,structural_status,classification_notes
Intercept,-3.9999999999999196,,,,,
C(F_variant)[T.F_LR],-9.59031031672053e-15,,,,,
C(scale)[T.40x40],-4.1151977658859806e-14,0.007618664937791211,0.9999999999956902,,,
C(epoch)[T.1],-3.9270100843022404e-14,,,,,
C(epoch)[T.2],6.327187038190907e-15,,,,,
C(epoch)[T.3],-3.887490915115144e-14,,,,,
C(epoch)[T.4],-1.0933962069081815e-14,0.17129849469838798,0.999999999999949,,,
C(epoch)[T.5],-2.5910155097841336e-14,0.22989056937620841,0.9999999999999101,,,
C(epoch)[T.6],-2.1774520121004004e-14,0.4323122940785287,0.9999999999999598,,,
C(scale)[T.40x40]:C(F_variant)[T.F_LR],-5.205688310971901e-15,,,,,
Lambda_total,0.003789660055190325,636381856336.9153,0.9999999999999952,,,
Local_Density,-0.05499621294438839,69130271718380.414,0.9999999999999993,,,
Local_Density_squared,-0.23549436733082985,13233869890.712513,0.9999999999858018,,,
Term_Lambda,0.99907472578343,,,,,
Term_Density_Pos,1.0184128982946277,,,,,
Term_Overcrowding,0.9411264092701117,,,,,
Psi_local,6.891936514893818e-16,5.316933288165016e-05,0.9999999999896576,,,
b_i_v,5.8943735309346934e-15,,,,,
b_i_u,-4.45932353543288e-16,,,,,
b_i_r,1.0276501871686605e-14,,,,,
rho_global,5.250400808565203e-14,,,,,
C(scale)[T.40x40]:rho_global,-4.261521691084624e-14,,,,,
psi_global,2.6522566694969774e-15,,,,,
C(scale)[T.40x40]:psi_global,-3.038801849042372e-15,,,,,
